# x_m,y_m,w_tr_right_m,w_tr_left_m
319.482,-713.0107,6.7179,6.5149
318.82345,-712.97555,6.7242,6.5124
318.1649667,-712.9400333,6.729766667,6.5117
317.506475,-712.904175,6.734725,6.512625
316.84802,-712.86798,6.73914,6.51492
315.5311,-712.7956,6.74814,6.51908
314.21426,-712.7222,6.7557,6.52694
312.89748,-712.64782,6.76216,6.53762
311.58078,-712.57246,6.76788,6.55024
310.26414,-712.49612,6.7732,6.56406
308.94756,-712.41882,6.77848,6.57844
307.63106,-712.34058,6.78402,6.5929
306.3146,-712.2614,6.79008,6.60708
304.99822,-712.18132,6.79674,6.6207
303.6819,-712.10034,6.80408,6.63352
302.36566,-712.01848,6.81206,6.6453
301.04946,-711.93576,6.8206,6.6558
299.73334,-711.85218,6.82958,6.66476
298.41726,-711.76774,6.83894,6.67194
297.10124,-711.68248,6.84858,6.67712
295.78526,-711.59642,6.8584,6.68014
294.46934,-711.50954,6.8683,6.68096
293.15348,-711.4219,6.87822,6.67966
291.83768,-711.33348,6.88806,6.67644
290.52194,-711.24432,6.89668,6.67158
289.20626,-711.1544,6.90476,6.66544
287.89062,-711.06378,6.91222,6.65832
286.57502,-710.97244,6.91898,6.65058
285.25948,-710.88042,6.92496,6.64256
283.94398,-710.7877,6.93114,6.6346
282.62852,-710.69432,6.93666,6.627
281.31312,-710.60028,6.94144,6.62012
279.99776,-710.5056,6.94538,6.61428
278.68244,-710.4103,6.9484,6.60982
277.36716,-710.3144,6.9504,6.607
276.05194,-710.21792,6.95136,6.60598
274.73676,-710.12086,6.95126,6.60682
273.42162,-710.02322,6.9501,6.60944
272.10652,-709.92504,6.94792,6.61368
270.79146,-709.82632,6.94478,6.61932
269.47642,-709.72706,6.9407,6.62682
268.16142,-709.6273,6.93574,6.63514
266.84646,-709.52706,6.92992,6.64404
265.53152,-709.42632,6.9233,6.65328
264.21662,-709.32514,6.9159,6.66266
262.90176,-709.22352,6.90778,6.67126
261.58692,-709.12144,6.89896,6.67968
260.27212,-709.01894,6.88952,6.68772
258.95736,-708.91606,6.87948,6.69516
257.64262,-708.81276,6.86888,6.7018
256.3279,-708.7091,6.85778,6.70752
255.01322,-708.60508,6.84622,6.71222
253.69856,-708.50072,6.83422,6.71588
252.38392,-708.39602,6.82184,6.71854
251.0693,-708.291,6.80914,6.72026
249.75472,-708.18566,6.79612,6.72112
248.44014,-708.08006,6.78286,6.72118
247.12558,-707.97418,6.76938,6.72056
245.81104,-707.86802,6.75572,6.71932
244.49652,-707.76164,6.74194,6.71754
243.18202,-707.65502,6.7281,6.7153
241.86754,-707.54818,6.7142,6.7127
240.55308,-707.44114,6.70032,6.7098
239.23864,-707.33392,6.6865,6.70668
237.92422,-707.22652,6.67278,6.70344
236.6098,-707.11896,6.65922,6.70014
235.2954,-707.01126,6.64588,6.69686
233.981,-706.90342,6.63398,6.69368
232.66662,-706.79546,6.6221,6.69072
231.35224,-706.6874,6.61028,6.68806
230.03788,-706.57926,6.59856,6.68584
228.72352,-706.47104,6.58698,6.6842
227.40918,-706.36278,6.57444,6.6833
226.09482,-706.25448,6.56246,6.68328
224.78048,-706.14614,6.5511,6.68428
223.46612,-706.0378,6.54042,6.68648
222.15178,-705.92946,6.5305,6.69002
220.83744,-705.82112,6.52136,6.69506
219.5231,-705.71282,6.51304,6.70172
218.20876,-705.60458,6.50562,6.7102
216.89442,-705.49638,6.49914,6.72062
215.58008,-705.38826,6.49366,6.73314
214.26572,-705.28022,6.48924,6.74778
212.95138,-705.17228,6.48594,6.76448
211.63702,-705.06446,6.48378,6.78294
210.32266,-704.95678,6.48284,6.80274
209.00828,-704.84924,6.48316,6.82328
207.6939,-704.74186,6.48478,6.84392
206.3795,-704.63466,6.4877,6.864
205.0651,-704.52764,6.49194,6.88286
203.75068,-704.42082,6.49742,6.89984
202.43626,-704.31422,6.50408,6.91428
201.12182,-704.20788,6.51184,6.92554
199.80736,-704.10178,6.52064,6.93294
198.49288,-703.99594,6.5304,6.93582
197.1784,-703.89038,6.54106,6.93356
195.8639,-703.7851,6.55254,6.92572
194.54938,-703.68012,6.56478,6.91214
193.23484,-703.57546,6.57772,6.89302
191.92028,-703.47114,6.59126,6.86886
190.6057,-703.36716,6.60534,6.84042
189.2911,-703.26356,6.6199,6.80864
187.97648,-703.16034,6.63486,6.77444
186.66184,-703.0575,6.65014,6.73874
185.34718,-702.95508,6.66568,6.70246
184.03248,-702.85308,6.6814,6.66654
182.71774,-702.75152,6.69724,6.63186
181.40298,-702.6504,6.71312,6.59936
180.0882,-702.54974,6.72894,6.56996
178.77338,-702.44946,6.74458,6.54464
177.45856,-702.34954,6.75992,6.5244
176.14372,-702.24986,6.77474,6.51028
174.82888,-702.1503,6.78884,6.50332
173.51404,-702.05074,6.80202,6.50458
172.19922,-701.95106,6.8141,6.51476
170.8844,-701.85112,6.82494,6.53386
169.56962,-701.75078,6.83444,6.5612
168.25486,-701.64994,6.8426,6.59538
166.94016,-701.54844,6.8494,6.6343
165.6255,-701.44616,6.85444,6.67896
164.31092,-701.34296,6.85792,6.7224
162.99642,-701.2387,6.85988,6.76188
161.682,-701.13326,6.8603,6.79494
160.36766,-701.02652,6.85922,6.81996
159.05344,-700.91834,6.85706,6.83268
157.73932,-700.80858,6.85364,6.83764
156.4253,-700.69714,6.84898,6.836
155.11142,-700.58386,6.8431,6.82946
153.79766,-700.46862,6.83602,6.81972
152.48404,-700.3513,6.82778,6.80854
151.17058,-700.23176,6.8184,6.79764
149.8573,-700.10986,6.8079,6.78874
148.54418,-699.98548,6.79632,6.78358
147.23124,-699.8585,6.78368,6.78392
145.9185,-699.72876,6.7701,6.79146
144.60594,-699.59614,6.75598,6.80772
143.29358,-699.46052,6.74206,6.8329
141.98144,-699.32176,6.72938,6.86558
140.66958,-699.17952,6.71914,6.90288
139.35808,-699.03318,6.71244,6.94062
138.04714,-698.8818,6.7101,6.97356
136.737,-698.72408,6.7108,6.99644
135.42796,-698.55842,6.71456,6.99864
134.12034,-698.38308,6.72126,6.97692
132.8145,-698.19634,6.73074,6.93126
131.51076,-697.99646,6.74288,6.86716
130.20944,-697.7817,6.75936,6.79562
128.9109,-697.55032,6.7802,6.73656
127.61548,-697.30062,6.80064,6.70122
126.32362,-697.03086,6.8222,6.69886
125.03598,-696.73936,6.84416,6.72116
123.75346,-696.42452,6.86544,6.7591
122.47714,-696.08478,6.88258,6.80176
121.20834,-695.7186,6.89756,6.83982
119.94848,-695.32448,6.90668,6.8627
118.69902,-694.90096,6.90804,6.87596
117.46132,-694.44658,6.90028,6.88124
116.23638,-693.96064,6.88094,6.87952
115.0246,-693.44352,6.85116,6.8746
113.8258,-692.89672,6.81238,6.87122
112.63914,-692.3228,6.77054,6.87088
111.46326,-691.72542,6.72254,6.8764
110.2966,-691.10856,6.67538,6.88716
109.13758,-690.47624,6.63232,6.90192
107.98474,-689.8321,6.59586,6.91888
106.83692,-689.17906,6.56418,6.93616
105.69322,-688.51926,6.54402,6.95054
104.55306,-687.8541,6.5352,6.96232
103.4161,-687.18422,6.53672,6.97028
102.28216,-686.50986,6.5472,6.97366
101.15108,-685.83124,6.56518,6.9717
100.02272,-685.14856,6.58922,6.96362
98.8969,-684.46204,6.6179,6.94874
97.77348,-683.77188,6.64624,6.9267
96.65228,-683.0783,6.6758,6.8976
95.53316,-682.3815,6.70534,6.86204
94.41596,-681.68172,6.73376,6.82106
93.3005,-680.97914,6.7603,6.7761
92.1866,-680.27398,6.78804,6.72876
91.07414,-679.56646,6.81384,6.68062
89.96298,-678.85674,6.8377,6.6333
88.85302,-678.14496,6.85972,6.58846
87.74418,-677.43128,6.88,6.54528
86.6364,-676.71578,6.8986,6.5087
85.52964,-675.99854,6.91558,6.48066
84.42386,-675.27968,6.93094,6.46306
83.319,-674.55926,6.94476,6.45782
82.21504,-673.83736,6.95704,6.46894
81.11194,-673.11408,6.96784,6.49362
80.00966,-672.3895,6.97718,6.53112
