# x_m,y_m,w_tr_right_m,w_tr_left_m
319.482,-713.0107,6.7179,6.5153
318.82235,-712.9755,6.7242,6.5128
318.1627667,-712.9399333,6.7298,6.512133333
317.503175,-712.904025,6.73475,6.513075
316.84362,-712.86776,6.73918,6.5154
315.5245,-712.79526,6.7482,6.5196
314.20546,-712.72174,6.75578,6.5275
312.88648,-712.64722,6.76226,6.5382
311.56758,-712.5717,6.768,6.55084
310.24874,-712.49522,6.77334,6.56466
308.92998,-712.41778,6.77864,6.57904
307.61128,-712.3394,6.7842,6.59348
306.29264,-712.26008,6.79026,6.60762
304.97406,-712.17986,6.79694,6.6212
303.65554,-712.09874,6.8043,6.63396
302.33708,-712.01672,6.81228,6.64566
301.01868,-711.93382,6.82082,6.65608
299.70034,-711.85008,6.8298,6.66496
298.38206,-711.76548,6.83914,6.67204
297.06384,-711.68006,6.84874,6.6771
295.74568,-711.59382,6.85854,6.67998
294.42758,-711.50678,6.8684,6.68064
293.10952,-711.41896,6.87826,6.67918
291.79154,-711.33038,6.88806,6.6758
290.4736,-711.24104,6.8968,6.67082
289.1557,-711.15096,6.90502,6.66458
287.83786,-711.06016,6.91264,6.6574
286.52008,-710.96864,6.91958,6.6496
285.20232,-710.87642,6.92574,6.64154
283.88464,-710.78352,6.93192,6.63354
282.567,-710.68996,6.93742,6.62592
281.2494,-710.59574,6.94216,6.61904
279.93184,-710.50088,6.94606,6.61326
278.61434,-710.4054,6.94902,6.60886
277.29686,-710.3093,6.95098,6.60614
275.97944,-710.2126,6.95188,6.60524
274.66206,-710.11532,6.95174,6.60618
273.34472,-710.01748,6.95052,6.60888
272.02742,-709.91908,6.94828,6.6132
270.71016,-709.82016,6.94506,6.6189
269.39292,-709.72072,6.9409,6.62578
268.07572,-709.62078,6.93584,6.63454
266.75856,-709.52034,6.92992,6.64386
265.44144,-709.41942,6.92318,6.65352
264.12434,-709.31802,6.91568,6.66328
262.8073,-709.21618,6.90746,6.6729
261.49028,-709.1139,6.89854,6.68126
260.1733,-709.0112,6.889,6.68922
258.85632,-708.9081,6.87886,6.69656
257.5394,-708.80462,6.86816,6.7031
256.22248,-708.70076,6.85694,6.7087
254.9056,-708.59654,6.84526,6.71328
253.58874,-708.49198,6.83314,6.71682
252.27192,-708.38708,6.82064,6.71934
250.9551,-708.28186,6.80778,6.72092
249.63832,-708.17634,6.79464,6.72166
248.32156,-708.07052,6.78124,6.72162
247.00482,-707.96442,6.76762,6.7209
245.6881,-707.85808,6.75384,6.71958
244.3714,-707.75148,6.73994,6.71774
243.0547,-707.64466,6.72594,6.71544
241.73802,-707.53762,6.7119,6.71278
240.42136,-707.43038,6.69788,6.70982
239.10472,-707.32296,6.6839,6.70666
237.7881,-707.21536,6.67004,6.70336
236.4715,-707.1076,6.65634,6.70002
235.1549,-706.9997,6.64286,6.69672
233.8383,-706.89168,6.62964,6.69354
232.52172,-706.78352,6.61676,6.69056
231.20514,-706.67528,6.60426,6.68792
229.88858,-706.56696,6.5922,6.68574
228.57202,-706.45858,6.58166,6.68416
227.25548,-706.35012,6.57136,6.68334
225.93892,-706.24164,6.56132,6.68344
224.62238,-706.13312,6.5516,6.68458
223.30584,-706.02458,6.54226,6.68694
221.9893,-705.91604,6.5323,6.69066
220.67276,-705.80754,6.52312,6.6959
219.35624,-705.69906,6.5148,6.7028
218.0397,-705.59064,6.50736,6.71154
216.72316,-705.48228,6.50086,6.72224
215.40662,-705.374,6.49536,6.73506
214.09008,-705.2658,6.49092,6.75002
212.77352,-705.1577,6.48758,6.767
211.45696,-705.04972,6.48542,6.7857
210.1404,-704.94186,6.48448,6.80568
208.82384,-704.83416,6.48482,6.8263
207.50726,-704.72662,6.48644,6.8469
206.19068,-704.61926,6.48938,6.86684
204.8741,-704.5121,6.4936,6.88546
203.55748,-704.40516,6.49906,6.90208
202.24086,-704.29842,6.50568,6.91606
200.92422,-704.19192,6.51342,6.92676
199.60756,-704.08568,6.52218,6.93348
198.29088,-703.9797,6.5319,6.93556
196.9742,-703.874,6.5425,6.9324
195.6575,-703.7686,6.55392,6.92358
194.34078,-703.6635,6.5661,6.909
193.02404,-703.55872,6.57894,6.88894
191.70728,-703.45428,6.5924,6.86392
190.3905,-703.35018,6.6064,6.83478
189.0737,-703.24646,6.62086,6.80246
187.75688,-703.14312,6.6357,6.76788
186.44004,-703.04018,6.65088,6.73194
185.12318,-702.93766,6.66628,6.6956
183.80628,-702.83556,6.68186,6.65976
182.48934,-702.7339,6.69756,6.62534
181.17238,-702.6327,6.7133,6.59328
179.8554,-702.53194,6.72896,6.56452
178.53838,-702.43156,6.74444,6.54004
177.22136,-702.33152,6.75956,6.52084
175.90432,-702.2317,6.77414,6.50796
174.58728,-702.132,6.78796,6.50248
173.27024,-702.03226,6.80084,6.50542
171.95322,-701.93238,6.81258,6.51736
170.6362,-701.83222,6.82306,6.5382
169.31922,-701.73164,6.83218,6.56708
168.00228,-701.6305,6.83992,6.60244
166.68538,-701.52868,6.84628,6.64206
165.36854,-701.42604,6.8513,6.68696
164.05178,-701.32246,6.855,6.73006
162.7351,-701.2178,6.85742,6.76862
161.4185,-701.11194,6.85858,6.80034
160.102,-701.00476,6.85848,6.82378
158.7856,-700.8961,6.85756,6.8348
157.4693,-700.78584,6.85514,6.8382
156.15312,-700.67384,6.85122,6.83532
154.83706,-700.55998,6.8458,6.8279
153.52114,-700.44412,6.8389,6.81766
152.20536,-700.32614,6.83012,6.80634
150.88976,-700.2059,6.82018,6.7957
149.57432,-700.08328,6.8091,6.78746
148.25904,-699.95814,6.79692,6.78336
146.94394,-699.83034,6.78366,6.78514
145.62904,-699.69976,6.76946,6.79454
144.31432,-699.56626,6.75476,6.81286
142.99982,-699.42972,6.74034,6.83994
141.68556,-699.28998,6.72728,6.87398
140.37158,-699.14664,6.71676,6.9118
139.05802,-698.999,6.70984,6.9489
137.74506,-698.84602,6.70726,6.9799
136.43294,-698.68634,6.70944,6.9996
135.122,-698.51828,6.71506,6.99642
133.81258,-698.34014,6.72342,6.96874
132.50502,-698.15014,6.73438,6.91788
131.19964,-697.94654,6.7478,6.85072
129.8968,-697.7276,6.76354,6.77958
128.59682,-697.49158,6.78288,6.72528
127.30006,-697.2367,6.80632,6.69692
126.007,-696.9613,6.82822,6.70136
124.7184,-696.6637,6.8502,6.72866
123.43518,-696.34228,6.87108,6.76878
122.1585,-695.99548,6.88934,6.81122
120.8897,-695.6218,6.90064,6.84672
119.63024,-695.2197,6.90792,6.86688
118.38156,-694.7877,6.90688,6.87798
117.14498,-694.32446,6.89878,6.88126
115.92138,-693.82956,6.877,6.87826
114.711,-693.30368,6.8446,6.87348
113.51348,-692.74858,6.80374,6.87076
112.32782,-692.16716,6.75722,6.87136
111.15258,-691.56324,6.70926,6.87842
109.98616,-690.94086,6.66318,6.89052
108.827,-690.30398,6.62212,6.90618
107.67368,-689.6561,6.58838,6.92354
106.52514,-688.99994,6.56334,6.94072
105.38054,-688.33748,6.54388,6.95446
104.23936,-687.66988,6.53574,6.96518
103.10134,-686.99762,6.53776,6.97184
101.96632,-686.32094,6.54852,6.97372
100.83414,-685.64004,6.56658,6.97002
99.70464,-684.95512,6.59052,6.95996
98.57764,-684.2664,6.61888,6.94292
97.45298,-683.5741,6.65024,6.9187
96.33052,-682.87842,6.68314,6.88752
95.21008,-682.17958,6.71624,6.8501
94.09152,-681.47778,6.74846,6.80766
92.97466,-680.77324,6.77908,6.76172
91.85936,-680.0662,6.80766,6.71386
90.74546,-679.35682,6.83168,6.66568
89.63282,-678.64528,6.85342,6.61884
88.52136,-677.93174,6.87302,6.575
87.411,-677.21632,6.89058,6.53378
86.30168,-676.49908,6.90618,6.49978
85.19336,-675.78016,6.92232,6.47494
84.08602,-675.0596,6.93688,6.46118
82.9796,-674.33752,6.9499,6.46038
81.87406,-673.61398,6.96142,6.4758
80.76936,-672.88908,6.97146,6.5047
79.66548,-672.16288,6.98008,6.54602
78.56236,-671.4355,6.9873,6.59764
77.45996,-670.707,6.99316,6.65648
76.35824,-669.97748,6.9977,6.71912
75.25718,-669.24702,7.00094,6.78216
74.1567,-668.51572,7.00288,6.84216
73.05678,-667.78366,7.0035,6.89574
71.95738,-667.0509,7.00276,6.93944
70.85848,-666.31754,7.0006,6.96986
69.76,-665.58368,6.99698,6.98394
68.66192,-664.84938,6.99178,6.98004
67.5642,-664.11472,6.98496,6.95814
66.4668,-663.37982,6.97646,6.91984
65.36966,-662.64474,6.9662,6.86832
64.27276,-661.90956,6.95412,6.80804
63.17606,-661.17438,6.94016,6.74366
62.07952,-660.4393,6.92426,6.67978
60.98304,-659.70438,6.90638,6.62046
59.88658,-658.96976,6.88648,6.56866
58.79004,-658.23556,6.86454,6.52622
57.69328,-657.5019,6.84062,6.49382
56.59616,-656.76892,6.81472,6.47108
55.49856,-656.03678,6.78688,6.45704
54.40032,-655.3056,6.75716,6.45074
53.30128,-654.57554,6.7256,6.45116
52.20132,-653.84674,6.69222,6.45736
51.10028,-653.11934,6.65706,6.46834
49.99804,-652.39348,6.62016,6.48312
48.89444,-651.66934,6.58156,6.50072
47.78934,-650.94702,6.54138,6.52018
