# x_m,y_m,w_tr_right_m,w_tr_left_m
319.482,-713.0107,6.7179,6.5147
318.1645,-712.9404,6.7305,6.5096
316.8471,-712.869,6.741,6.51
315.5298,-712.7966,6.7497,6.515
314.2126,-712.7231,6.757,6.5237
312.8954,-712.6487,6.7632,6.5352
311.5783,-712.5733,6.7687,6.5487
310.2613,-712.4969,6.7738,6.5633
308.9443,-712.4196,6.7788,6.5781
307.6274,-712.3413,6.7843,6.5929
306.3105,-712.2621,6.7903,6.6073
304.9937,-712.182,6.7973,6.6213
303.677,-712.1009,6.8049,6.6345
302.3604,-712.019,6.8132,6.6466
301.0438,-711.9363,6.822,6.6575
299.7272,-711.8526,6.8313,6.6668
298.4108,-711.7681,6.841,6.6744
297.0943,-711.6828,6.8509,6.68
295.778,-711.5967,6.8611,6.6833
294.4617,-711.5098,6.8713,6.6842
293.1454,-711.4221,6.8765,6.6828
291.8292,-711.3337,6.8849,6.6795
290.5131,-711.2445,6.8932,6.6745
289.197,-711.1545,6.9012,6.6682
287.8809,-711.0638,6.909,6.6609
286.5649,-710.9724,6.9164,6.6531
285.249,-710.8804,6.9234,6.6449
283.9331,-710.7876,6.9297,6.6368
282.6172,-710.6942,6.9355,6.629
281.3014,-710.6001,6.9404,6.622
279.9857,-710.5054,6.9445,6.616
278.67,-710.41,6.9477,6.6113
277.3543,-710.3141,6.9499,6.6084
276.0387,-710.2175,6.951,6.6063
274.7231,-710.1204,6.9509,6.6072
273.4075,-710.0227,6.9499,6.6097
272.092,-709.9245,6.9478,6.6138
270.7765,-709.8257,6.9447,6.6192
269.4611,-709.7264,6.9407,6.6257
268.1457,-709.6266,6.9358,6.6331
266.8303,-709.5263,6.9301,6.6412
265.515,-709.4255,6.9236,6.6498
264.1997,-709.3243,6.9163,6.6586
262.8845,-709.2226,6.9083,6.6675
261.5692,-709.1205,6.8996,6.6763
260.254,-709.0179,6.8903,6.6846
258.9389,-708.915,6.8804,6.6924
257.6237,-708.8117,6.87,6.6994
256.3086,-708.708,6.8591,6.7054
254.9935,-708.6039,6.8477,6.7103
253.6785,-708.4995,6.8359,6.7141
252.3634,-708.3947,6.8238,6.7168
251.0484,-708.2896,6.8113,6.7187
249.7334,-708.1843,6.7985,6.7196
248.4184,-708.0786,6.7855,6.7198
247.1035,-707.9727,6.7722,6.7193
245.7886,-707.8665,6.7589,6.7182
244.4737,-707.76,6.7454,6.7165
243.1588,-707.6533,6.7381,6.7144
241.8439,-707.5465,6.723,6.7119
240.529,-707.4394,6.7078,6.7091
239.2142,-707.3321,6.6927,6.7061
237.8993,-707.2246,6.6777,6.703
236.5845,-707.117,6.6628,6.6998
235.2697,-707.0093,6.6482,6.6966
233.9549,-706.9014,6.6337,6.6935
232.6401,-706.7934,6.6197,6.6906
231.3254,-706.6853,6.6059,6.6879
230.0106,-706.5771,6.5926,6.6857
228.6958,-706.4688,6.5798,6.6841
227.3811,-706.3605,6.5675,6.6832
226.0663,-706.2522,6.5558,6.6831
224.7516,-706.1438,6.5448,6.6841
223.4368,-706.0354,6.5344,6.6862
222.1221,-705.927,6.5248,6.6897
220.8074,-705.8186,6.516,6.6947
219.4926,-705.7103,6.508,6.7012
218.1779,-705.602,6.5009,6.7096
216.8631,-705.4937,6.4949,6.7199
215.5484,-705.3856,6.4898,6.7322
214.2336,-705.2775,6.4858,6.7468
212.9189,-705.1695,6.4829,6.7638
211.6041,-705.0616,6.4812,6.7829
210.2894,-704.9539,6.4808,6.8034
208.9746,-704.8463,6.4816,6.8248
207.6598,-704.7389,6.4838,6.8463
206.345,-704.6317,6.4873,6.8673
