# x_m,y_m,w_tr_right_m,w_tr_left_m
319.482,-713.0107,6.7179,6.5148
318.82335,-712.97555,6.7242,6.51225
318.1647333,-712.9400333,6.7298,6.511533333
317.50615,-712.904175,6.734775,6.512425
316.8476,-712.86798,6.7392,6.5147
315.53048,-712.7956,6.74824,6.51882
314.21344,-712.7222,6.75584,6.52666
312.89646,-712.6478,6.76236,6.53732
311.57954,-712.57242,6.76814,6.54994
310.26268,-712.49606,6.77356,6.56378
308.9459,-712.41874,6.77896,6.57818
307.62918,-712.34048,6.78464,6.59266
306.31254,-712.2613,6.79082,6.60688
304.99596,-712.1812,6.79764,6.62056
303.67944,-712.1002,6.80514,6.63344
302.36296,-712.01832,6.81326,6.6453
301.04656,-711.93556,6.82196,6.65588
299.7302,-711.85196,6.8311,6.66492
298.41392,-711.76752,6.84062,6.6722
297.09768,-711.68226,6.85042,6.67748
295.78152,-711.59618,6.86042,6.6806
294.4654,-711.50932,6.86942,6.68154
293.14934,-711.42166,6.87812,6.68036
291.83332,-711.33322,6.88642,6.67726
290.51738,-711.24404,6.89422,6.67254
289.20148,-711.15412,6.90146,6.66652
287.88562,-711.06346,6.90914,6.65954
286.56982,-710.9721,6.91644,6.65194
285.25408,-710.88006,6.92324,6.64402
283.93838,-710.78732,6.9295,6.63614
282.62272,-710.69392,6.9351,6.62866
281.30712,-710.59988,6.93994,6.62188
279.99156,-710.50518,6.94394,6.61614
278.67604,-710.40986,6.94702,6.61178
277.36056,-710.31394,6.9491,6.60906
276.04512,-710.21742,6.95014,6.60832
274.72972,-710.12032,6.95012,6.60934
273.41436,-710.02266,6.94904,6.61204
272.09904,-709.92446,6.94696,6.61624
270.78376,-709.82572,6.9439,6.6217
269.46852,-709.72646,6.9399,6.628
268.15332,-709.62668,6.93504,6.63518
266.83816,-709.52642,6.92934,6.64304
265.52302,-709.42566,6.92282,6.65138
264.20792,-709.32444,6.91554,6.65998
262.89286,-709.22278,6.90756,6.66862
261.57782,-709.1207,6.89888,6.6771
260.2628,-709.0182,6.88958,6.68522
258.94782,-708.9153,6.8797,6.69274
257.63286,-708.812,6.86926,6.69948
256.31792,-708.70832,6.85832,6.7053
255.00302,-708.60428,6.84694,6.71012
253.68816,-708.49988,6.83512,6.71388
252.37332,-708.39516,6.82294,6.71664
251.0585,-708.29012,6.81044,6.71846
249.7437,-708.18478,6.79764,6.71944
248.42892,-708.07914,6.78458,6.71964
247.11416,-707.97324,6.77132,6.71914
245.79942,-707.86708,6.7579,6.71802
244.4847,-707.76068,6.74436,6.71638
243.17,-707.65404,6.732,6.71426
241.85532,-707.54718,6.7193,6.71176
240.54066,-707.44012,6.70632,6.70898
239.226,-707.33286,6.69306,6.70598
237.91136,-707.22544,6.6796,6.70282
236.59674,-707.11786,6.66474,6.69962
235.28212,-707.01014,6.65008,6.69644
233.9675,-706.90228,6.63566,6.69336
232.65292,-706.79432,6.62156,6.69048
231.33834,-706.68624,6.60784,6.68792
230.02376,-706.57808,6.59452,6.68578
228.7092,-706.46986,6.58168,6.68422
227.39464,-706.36158,6.56936,6.68338
226.08008,-706.25326,6.55764,6.68342
224.76552,-706.14492,6.54654,6.6845
223.45098,-706.03656,6.53612,6.68676
222.13642,-705.9282,6.52646,6.69034
220.82188,-705.81986,6.5176,6.69542
219.50732,-705.71154,6.50958,6.70212
218.19278,-705.60326,6.50246,6.7106
216.87822,-705.49504,6.49632,6.72102
215.56368,-705.3869,6.49118,6.73352
214.24912,-705.27884,6.4871,6.74816
212.93456,-705.17088,6.48414,6.76486
211.62,-705.06306,6.48236,6.78332
