# x_m,y_m,w_tr_right_m,w_tr_left_m
-33.89121027,-123.5486972,6.241145371,8.298031877
-33.51657264,-120.5866699,6.191538499,8.377195105
-33.14193332,-117.6246429,6.141936294,8.45520047
-32.76729382,-114.6626159,6.092356296,8.531191215
-32.39265416,-111.7005889,6.04278403,8.605298293
-32.01801383,-108.738562,5.993227166,8.678243085
-31.6433733,-105.7765352,5.943681404,8.748679815
-31.26873279,-102.8145083,5.89414439,8.818349955
-30.89409208,-99.85248144,5.844620376,8.88568566
-30.51945049,-96.8904547,5.795101435,8.95195822
-30.14480937,-93.92842791,5.745595468,9.016661609
-29.77016672,-90.9664013,5.696094108,9.079771965
-29.3955247,-88.00437463,5.646600646,9.141973353
-29.02088122,-85.04234813,5.59711262,9.20214433
-28.64623702,-82.08032172,5.547630173,9.261651513
-28.27159391,-79.11829518,5.498150365,9.319403123
-27.89694919,-76.15626884,5.448674378,9.376239793
-27.52230439,-73.19424251,5.399201048,9.431906521
-27.14765921,-70.23221623,5.349728677,9.486306698
-26.77301317,-67.27019005,5.300254905,9.540019924
-26.39828081,-64.3081748,5.250858135,9.592090561
-26.02313977,-61.34621129,5.201853776,9.643178314
-25.64694733,-58.38438113,5.153882748,9.691926297
-25.26877498,-55.42280319,5.107881759,9.737923304
-24.8875578,-52.46161573,5.064929403,9.780005108
-24.50230726,-49.50095046,5.026037597,9.817114543
-24.11226558,-46.5409127,4.991975094,9.848921255
-23.71696302,-43.58157302,4.963230191,9.874434936
-23.31623377,-40.62296335,4.939969119,9.894132488
-22.91015247,-37.66508351,4.922120476,9.907679591
-22.49897646,-34.70790753,4.909422322,9.915668713
-22.08308005,-31.75139167,4.901491957,9.918411583
-21.66290529,-28.79548073,4.897885147,9.916340895
-21.23892075,-25.84011377,4.898116819,9.910138421
-20.8115894,-22.8852288,4.901727088,9.900041611
-20.38136695,-19.93076331,4.908241867,9.886819662
-19.94869085,-16.97665612,4.91722607,9.870759399
-19.51399366,-14.02284563,4.928235477,9.852462914
-19.07770312,-11.06927005,4.940837039,9.832359835
-18.64024009,-8.115867872,4.954607173,9.810916625
-18.20199664,-5.162581296,4.969141063,9.788597618
