# x_m,y_m,w_tr_right_m,w_tr_left_m
319.482,-716.8005,3.3242,2.7527
318.82355,-716.7624,3.33355,2.751
318.1651333,-716.7238333,3.342033333,2.752433333
317.5068,-716.68475,3.349675,2.7559
316.84856,-716.64518,3.35654,2.76104
315.53206,-716.56604,3.37034,2.77052
314.21578,-716.48544,3.38182,2.78486
312.89972,-716.40338,3.39112,2.80248
311.58388,-716.3199,3.39836,2.82252
310.26822,-716.23502,3.40364,2.84418
308.95278,-716.14878,3.40706,2.86686
307.63752,-716.0612,3.40876,2.89004
306.32246,-715.97232,3.40886,2.91332
305.00758,-715.88216,3.40748,2.93646
303.6929,-715.79074,3.40474,2.9592
302.3784,-715.69808,3.40078,2.98126
301.06408,-715.6042,3.39604,3.0024
299.74994,-715.50914,3.38974,3.02238
298.43598,-715.41292,3.382,3.04092
297.12218,-715.31556,3.37294,3.05778
295.80852,-715.2171,3.36268,3.07282
294.49504,-715.11756,3.351,3.08596
293.1817,-715.01696,3.33892,3.09728
291.8685,-714.91532,3.32658,3.10694
290.55546,-714.81268,3.3141,3.11526
289.24256,-714.70906,3.3016,3.12252
287.92978,-714.6045,3.28922,3.12906
286.61716,-714.499,3.27706,3.13522
285.30466,-714.39262,3.26528,3.1413
283.99228,-714.28536,3.25398,3.14762
282.68004,-714.17726,3.24332,3.15452
281.36792,-714.06832,3.23342,3.16232
280.05588,-713.95858,3.22442,3.17132
278.74396,-713.84808,3.21642,3.18188
277.43214,-713.73684,3.20954,3.19422
276.12042,-713.62486,3.2038,3.2085
274.8088,-713.5122,3.1992,3.22474
273.49728,-713.39888,3.19572,3.24288
272.18586,-713.2849,3.19326,3.26272
270.87452,-713.1703,3.19174,3.28404
269.56326,-713.05512,3.19106,3.30662
268.25206,-712.93938,3.19114,3.33026
266.94096,-712.82308,3.19188,3.3547
265.6299,-712.70628,3.19318,3.37974
264.31892,-712.58898,3.19494,3.40518
263.008,-712.47122,3.19708,3.43076
261.69714,-712.35302,3.1995,3.45626
260.38632,-712.23442,3.20212,3.48148
259.07556,-712.11542,3.20484,3.50618
257.76484,-711.99608,3.20756,3.53012
256.45416,-711.8764,3.2102,3.55314
255.14352,-711.75642,3.21266,3.57512
253.8329,-711.63616,3.21484,3.59598
252.52232,-711.51564,3.21666,3.61572
251.21176,-711.3949,3.21802,3.63438
249.90122,-711.27396,3.21882,3.65204
248.5907,-711.15282,3.21898,3.66876
247.2802,-711.03154,3.21854,3.68462
245.9697,-710.91014,3.21676,3.69968
244.6592,-710.78862,3.21356,3.714
243.3487,-710.66702,3.20886,3.72766
242.0382,-710.5454,3.2026,3.74072
240.72768,-710.42374,3.19466,3.75324
239.41716,-710.30208,3.18574,3.7653
238.10662,-710.18046,3.17594,3.777
236.79606,-710.0589,3.16542,3.78838
235.48548,-709.9374,3.15432,3.7995
234.17488,-709.81602,3.1428,3.81044
