# x_m,y_m,w_tr_right_m,w_tr_left_m
319.482,-716.8005,3.3241,2.7531
318.82365,-716.76245,3.3334,2.751
318.1654,-716.7238667,3.341866667,2.7523
317.507225,-716.684775,3.349525,2.7557
316.84912,-716.6452,3.35638,2.7608
315.5329,-716.56608,3.37016,2.77012
314.2169,-716.48548,3.38164,2.78446
312.90112,-716.40344,3.39094,2.80208
311.58554,-716.32,3.39816,2.82212
310.27016,-716.23516,3.40342,2.84378
308.955,-716.14894,3.40684,2.86646
307.64004,-716.06138,3.40854,2.88964
306.32526,-715.97252,3.40862,2.91294
305.01068,-715.88236,3.40722,2.93608
303.69628,-715.79094,3.40448,2.95882
302.38206,-715.6983,3.4005,2.9809
301.06802,-715.60446,3.39586,3.00206
299.75416,-715.50942,3.38968,3.02206
298.44046,-715.41322,3.38208,3.04064
297.12694,-715.3159,3.37316,3.05754
295.81356,-715.21746,3.36302,3.07258
294.50034,-715.11794,3.35136,3.08574
293.18728,-715.01736,3.33928,3.09706
291.87436,-714.91576,3.32692,3.10674
290.5616,-714.81316,3.3144,3.11506
289.24898,-714.70958,3.30188,3.12234
287.9365,-714.60504,3.28946,3.1289
286.62414,-714.49958,3.2773,3.13506
285.31192,-714.39322,3.2655,3.14114
283.99982,-714.28598,3.2542,3.14748
282.68784,-714.1779,3.24354,3.1544
281.37598,-714.069,3.23362,3.1622
280.06424,-713.9593,3.22458,3.17122
278.7526,-713.84882,3.21656,3.18176
277.44106,-713.7376,3.20966,3.19408
276.12964,-713.62564,3.20388,3.20834
274.8183,-713.513,3.19926,3.22456
273.50706,-713.3997,3.19576,3.24266
272.19592,-713.28576,3.19328,3.2625
270.88486,-713.1712,3.19172,3.28382
269.57386,-713.05606,3.19102,3.3064
268.26296,-712.94034,3.19108,3.33004
266.95212,-712.82408,3.19178,3.3545
265.64134,-712.7073,3.19304,3.37954
264.33062,-712.59002,3.19478,3.40496
263.01998,-712.4723,3.1969,3.43054
261.70938,-712.35414,3.1993,3.45604
260.39884,-712.23556,3.2019,3.48126
259.08836,-712.11662,3.2046,3.50596
257.77792,-711.99732,3.20732,3.52992
256.46752,-711.87766,3.20994,3.55296
255.15716,-711.7577,3.21238,3.57496
253.84682,-711.63748,3.21456,3.59584
252.53652,-711.51698,3.21636,3.6156
251.22624,-711.39626,3.2177,3.63428
249.91598,-711.27534,3.2185,3.65194
248.60574,-711.15424,3.21866,3.66866
247.29552,-711.03298,3.21836,3.68452
245.98528,-710.9116,3.21674,3.69958
244.67506,-710.79012,3.2137,3.71392
243.36484,-710.66856,3.20916,3.7276
242.05462,-710.54694,3.20306,3.74068
240.74438,-710.4253,3.19512,3.75324
239.43414,-710.30366,3.18622,3.76534
238.12388,-710.18204,3.17642,3.77704
236.8136,-710.0605,3.16588,3.78842
235.50328,-709.93904,3.15478,3.79954
234.19294,-709.81768,3.14326,3.81046
232.88258,-709.69646,3.13148,3.82128
231.57218,-709.5754,3.1196,3.8321
230.26174,-709.4545,3.1078,3.843
228.95126,-709.33382,3.09622,3.85414
227.64074,-709.21336,3.08506,3.86562
226.33016,-709.09316,3.07444,3.87758
225.01952,-708.97324,3.06456,3.89018
223.70882,-708.85364,3.05554,3.90356
222.39806,-708.73438,3.04758,3.91782
221.08722,-708.6155,3.0408,3.93314
219.7763,-708.497,3.0354,3.94966
218.46532,-708.37892,3.03152,3.9675
217.15424,-708.26128,3.02934,3.9868
215.84308,-708.1441,3.029,4.00772
214.53184,-708.0274,3.0307,4.03036
213.22052,-707.91122,3.03456,4.05468
211.90908,-707.7956,3.04076,4.08048
210.59756,-707.68054,3.04946,4.1074
209.28592,-707.56608,3.06082,4.13494
207.97418,-707.45224,3.07492,4.16244
206.66232,-707.33906,3.09186,4.18922
205.35034,-707.22652,3.11162,4.21464
204.03824,-707.1147,3.13418,4.23802
202.72602,-707.0036,3.15946,4.2587
201.41366,-706.89326,3.18738,4.276
200.10116,-706.78368,3.21784,4.28928
198.78854,-706.67492,3.25076,4.29784
