# x_m,y_m,w_tr_right_m,w_tr_left_m
319.4402,-712.939,6.6853,5.0868
318.78545,-712.84975,6.63715,5.10635
318.1306,-712.7610333,6.589066667,5.1231
317.475675,-712.672825,6.541175,5.1371
316.82066,-712.58512,6.49354,5.14846
315.51062,-712.4097,6.39842,5.17136
314.20032,-712.2358,6.30422,5.18648
312.88976,-712.0634,6.2113,5.19416
311.57894,-711.8925,6.11994,5.19476
310.26786,-711.72308,6.03048,5.18876
308.95654,-711.55514,5.94326,5.1768
307.64496,-711.38864,5.8586,5.15974
306.33314,-711.2236,5.7767,5.13858
305.02108,-711.05998,5.69776,5.11448
303.70878,-710.89778,5.62182,5.08862
302.39624,-710.73698,5.54884,5.0622
301.08348,-710.5776,5.47872,5.0364
299.7705,-710.41958,5.41136,5.0124
298.4573,-710.26294,5.34662,4.9914
297.14388,-710.10768,5.2844,4.97456
295.83024,-709.95376,5.2246,4.96274
294.5164,-709.80118,5.1671,4.95644
293.20234,-709.64994,5.11178,4.95582
291.88806,-709.50002,5.05852,4.96064
290.5736,-709.35138,5.0072,4.97034
289.25894,-709.20406,4.9577,4.98432
287.94408,-709.05802,4.9099,5.00194
286.62904,-708.91324,4.8637,5.02254
285.31382,-708.76972,4.81898,5.04552
283.9984,-708.62746,4.77562,5.07024
282.68282,-708.48642,4.7335,5.09604
281.36706,-708.3466,4.69252,5.12232
280.05112,-708.208,4.65254,5.14846
278.73502,-708.07058,4.61344,5.17384
277.41876,-707.93436,4.57516,5.19804
276.10232,-707.79932,4.53762,5.22084
274.78574,-707.66544,4.50074,5.24222
273.469,-707.53272,4.46454,5.26232
272.1521,-707.40116,4.42904,5.2815
270.83506,-707.2707,4.39422,5.30014
269.51788,-707.14136,4.36012,5.3186
268.20056,-707.01314,4.32676,5.33724
266.8831,-706.886,4.29414,5.35644
265.56552,-706.75994,4.26228,5.37656
264.2478,-706.63498,4.2312,5.39794
262.92998,-706.51108,4.2009,5.42098
261.61202,-706.38822,4.17142,5.44602
260.29396,-706.2664,4.14278,5.47346
258.97576,-706.1456,4.11498,5.5074
257.65746,-706.02582,4.08804,5.54472
256.33904,-705.90704,4.062,5.58564
255.02052,-705.78924,4.03684,5.63026
253.7019,-705.67242,4.01258,5.67852
252.3832,-705.55658,3.98926,5.72642
251.06442,-705.44168,3.96688,5.77708
249.74554,-705.32772,3.94546,5.83006
248.42658,-705.21472,3.92502,5.88492
247.10754,-705.10264,3.90558,5.94118
245.78842,-704.99146,3.88714,5.9984
244.4692,-704.88118,3.86974,6.05614
243.14992,-704.77178,3.85338,6.11394
241.83058,-704.66324,3.8381,6.17136
240.51116,-704.55558,3.8239,6.22794
239.1917,-704.44876,3.8108,6.28324
237.87218,-704.34278,3.79884,6.3368
236.55262,-704.23764,3.78804,6.38818
235.233,-704.13332,3.77842,6.43692
233.91334,-704.02978,3.77002,6.48258
232.59362,-703.92704,3.76288,6.52476
231.27388,-703.82508,3.757,6.5631
