# x_m,y_m,w_tr_right_m,w_tr_left_m
0.273202181,-1.152730465,6.241145371,8.298031877
3.235230293,-0.778099753,6.191538499,8.377195105
6.197258191,-0.403467346,6.141936294,8.45520047
9.159286066,-0.028834756,6.092356296,8.531191215
12.12131392,0.345797987,6.04278403,8.605298293
15.08334169,0.720431395,5.993227166,8.678243085
18.04536944,1.095065016,5.943681404,8.748679815
21.00739718,1.469698614,5.89414439,8.818349955
23.96942491,1.844332407,5.844620376,8.88568566
26.93145252,2.218967077,5.795101435,8.95195822
29.89348019,2.593601287,5.745595468,9.016661609
32.85550767,2.96823702,5.696094108,9.079771965
35.81753522,3.342872126,5.646600646,9.141973353
38.77956259,3.717508688,5.59711262,9.20214433
41.74158988,4.092145969,5.547630173,9.261651513
44.70361729,4.466782164,5.498150365,9.319403123
47.66564451,4.841419969,5.448674378,9.376239793
50.62767171,5.216057859,5.399201048,9.431906521
53.58969887,5.590696122,5.349728677,9.486306698
56.55172592,5.965335244,5.300254905,9.540019924
59.51374205,6.340060697,5.250858135,9.592090561
62.47570644,6.715194817,5.201853776,9.643178314
65.43753747,7.091380344,5.153882748,9.691926297
68.3991163,7.469545776,5.107881759,9.737923304
71.36030465,7.850756045,5.064929403,9.780005108
74.32097082,8.235999668,5.026037597,9.817114543
77.28100949,8.62603444,4.991975094,9.848921255
80.24035009,9.021330092,4.963230191,9.874434936
83.1989607,9.42205244,4.939969119,9.894132488
86.15684149,9.828126826,4.922120476,9.907679591
89.11401843,10.23929594,4.909422322,9.915668713
92.07053526,10.65518544,4.901491957,9.918411583
95.02644718,11.0753533,4.897885147,9.916340895
97.98181513,11.49933094,4.898116819,9.910138421
100.9367011,11.9266554,4.901727088,9.900041611
103.8911676,12.35687095,4.908241867,9.886819662
106.8452758,12.78954015,4.91722607,9.870759399
109.7990873,13.22423045,4.928235477,9.852462914
112.7526639,13.66051409,4.940837039,9.832359835
115.7060671,14.09797023,4.954607173,9.810916625
118.6593547,14.53620678,4.969141063,9.788597618
121.6125756,14.97489199,4.984115309,9.765761909
124.5657665,15.41377944,4.999263486,9.742715425
127.5189492,15.85272223,5.014453409,9.719667293
130.4721308,16.29167251,5.029624861,9.696702766
133.4253134,16.73061565,5.044769074,9.673865102
136.3784969,17.16955325,5.059885374,9.651258394
139.33168,17.60849269,5.07497662,9.628793636
142.2848632,18.0474322,5.09004925,9.606724286
145.2380463,18.48637206,5.105088188,9.584890612
148.1912296,18.92531073,5.120108456,9.563485637
151.1444121,19.36425482,5.135097349,9.542477853
154.0975949,19.80319676,5.150061191,9.52188111
157.0507777,20.24213846,5.164993603,9.501890987
160.0039612,20.68107625,5.179861389,9.482273925
162.9571441,21.12001733,5.194665317,9.463488645
165.9103268,21.55896007,5.208891616,9.445213286
168.8635101,21.99789851,5.222689995,9.427698366
171.8166936,22.43683615,5.234723611,9.410922411
174.7698766,22.87577653,5.245520629,9.394823473
177.7230595,23.31471772,5.25379051,9.379665013
180.6762427,23.75365682,5.259634527,9.36507698
183.629426,24.19259562,5.262567338,9.351570252
186.5826092,24.63153468,5.26165446,9.33875381
189.535792,25.07047696,5.257609275,9.326761136
192.4889743,25.50942194,5.248114326,9.315595816
195.4421569,25.94836548,5.235141304,9.305129559
198.3953395,26.38730905,5.215367583,9.295618371
201.348522,26.82625306,5.190561673,9.286713301
204.3017037,27.26520217,5.159437036,9.278833757
207.2548858,27.70414875,5.122819885,9.271692799
210.208068,28.14309506,5.08189251,9.265355593
213.1612495,28.58204589,5.038537685,9.259863406
216.1144308,29.02099759,4.994333349,9.255067431
219.0676125,29.45994687,4.952809544,9.251155823
222.0207936,29.89890086,4.9142007,9.247733963
224.9739743,30.3378568,4.882740253,9.243111017
227.9271559,30.77680681,4.859114987,9.236211331
230.8803368,31.21576162,4.845449997,9.224507341
233.8335188,31.65470898,4.84521846,9.205414757
236.7865628,32.09458332,4.858152032,9.178013929
239.7388414,32.53955139,4.896347964,9.132859719
242.6889282,32.99875055,4.964119368,9.065452551
245.6345027,33.48585324,5.087208481,8.954620206
248.5723261,34.01735745,5.272331471,8.792508142
251.4981531,34.61088497,5.524855232,8.56684797
254.4065987,35.28389515,5.835456389,8.275360176
257.2909739,36.05297541,6.217731558,7.933067108
260.1433159,36.93289739,6.619504452,7.541040453
262.9544103,37.93632029,7.030689307,7.115488763
265.71375,39.07395781,7.475324937,6.670636208
268.4096533,40.35438279,7.863354176,6.228680254
271.0295143,41.78374805,8.20225464,5.818617654
273.5598882,43.36597635,8.518797221,5.481964548
275.9866902,45.10277004,8.739459515,5.217418604
278.2952194,46.99387097,8.931788885,5.065572247
280.4698161,49.03756213,9.028203996,4.94996099
282.493316,51.23099536,9.037123842,4.934559799
284.3491144,53.56817231,9.066973909,4.873916406
286.0242707,56.03830553,8.983612947,4.93998775
287.5157823,58.62386218,8.903835067,4.90324021
288.823986,61.30717928,8.864700136,5.086658264
289.9430301,64.07485832,8.655552489,5.127778722
290.8757161,66.91066915,8.468678717,5.455238416
291.6270395,69.7996882,8.193794364,5.665578013
292.199862,72.72926458,7.77786308,6.125423243
292.5975203,75.68771516,7.371651713,6.511686485
292.8247462,78.6641805,6.895606576,7.121817962
292.887453,81.6487696,6.448981252,7.634647405
292.7923956,84.63262717,6.081626959,8.221838877
292.5492408,87.60817469,5.736192902,8.681012253
292.1722367,90.56981014,5.480360367,9.030866061
291.6784298,93.51427085,5.289232155,9.272856183
291.0877645,96.44086849,5.136526854,9.387040324
290.4221101,99.35133928,5.044376575,9.425017217
289.7030357,102.2490782,4.970060747,9.391928764
288.9509849,105.138434,4.927994703,9.325043702
288.183024,108.0236017,4.89818527,9.241849685
287.4102216,110.9074766,4.890182774,9.163811369
286.6375524,113.7913874,4.893835438,9.090889934
285.8675758,116.6760181,4.933014368,9.030067071
285.1024205,119.5619314,4.977968443,8.97555725
284.3432463,122.4494237,5.054633253,8.929275653
283.5904293,125.3385799,5.132241906,8.887420228
282.8437245,128.2293219,5.224697068,8.849243216
282.1029994,131.1216019,5.31878396,8.808767684
281.3678022,134.015292,5.416476053,8.770516106
280.6378159,136.9103011,5.512345762,8.725140459
279.9126243,139.806515,5.605166999,8.681467477
279.191882,142.7038393,5.688853037,8.634544895
278.4752378,145.60218,5.766667806,8.587449079
277.7624758,148.5014779,5.831675348,8.540251509
277.0533075,151.4016569,5.889678026,8.492243082
276.3474241,154.3026372,5.937027946,8.445958018
275.6446916,157.2043823,5.975494828,8.399618679
274.9448638,160.1068294,6.005394136,8.355730731
274.2476821,163.0099133,6.024450419,8.313789926
273.5531522,165.9136327,6.03701851,8.275150918
272.8610453,168.8179306,6.036386809,8.239581729
272.1712002,171.7227665,6.029863999,8.209067514
271.4836111,174.6281373,6.010872196,8.182181168
270.7980661,177.5339911,5.984490831,8.16241519
270.1146151,180.4403381,5.948332556,8.147441878
269.4332243,183.3471688,5.904242523,8.138846261
268.7539746,186.2545006,5.853835734,8.136505598
268.0770742,189.1623802,5.796589644,8.139449535
267.4027218,192.0708518,5.73514845,8.150239111
266.7313908,194.9800221,5.668967315,8.166400455
266.0637223,197.8900351,5.599211275,8.191419711
265.4002967,200.8010182,5.526537535,8.223710933
264.741658,203.713088,5.451429671,8.264572878
264.087898,206.6262569,5.374467439,8.313259606
263.4387539,209.5404579,5.298632369,8.368278066
262.7933068,212.4554802,5.222793705,8.425969764
262.1503853,215.3710607,5.154548867,8.484734496
261.5088624,218.2869494,5.0893245,8.539205365
260.8679636,221.2029753,5.034618385,8.588364708
260.2271577,224.1190217,4.985467851,8.629847517
259.58638,227.0350743,4.944616481,8.658950776
258.9455947,229.9511252,4.910700619,8.680057975
258.3045729,232.8671241,4.883048306,8.680182452
257.6615094,235.7826733,4.865400805,8.668403573
257.0108408,238.6965326,4.859695401,8.629607756
256.3412542,241.6060916,4.882906064,8.567531933
255.6367366,244.5073587,4.947695392,8.470963535
254.8806543,247.3955652,5.074281035,8.337247394
254.0594762,250.2658847,5.263978355,8.155031125
253.1641539,253.1138991,5.525094476,7.933853141
252.189381,255.9356697,5.817752423,7.65822359
251.1323839,258.7276523,6.155275893,7.359922588
249.9918029,261.4865191,6.492297924,7.0084075
248.7671939,264.2091094,6.814603268,6.671060688
247.4583773,266.8922189,7.14230865,6.303407103
246.0649895,269.5323832,7.403629444,5.974771778
244.5866887,272.1259467,7.651489887,5.651087926
243.0230068,274.6689359,7.856318344,5.38901094
241.3737169,277.1572526,8.009054,5.167728309
239.6385833,279.5864866,8.153725974,5.023781418
237.8180362,281.952396,8.199525435,4.933745074
235.9133138,284.2511011,8.235318583,4.899930115
233.925895,286.4787191,8.218824774,4.915095201
231.8576829,288.6315645,8.168387503,4.956240819
229.7125839,290.7078631,8.127617683,5.04943349
227.495707,292.7074029,8.006871622,5.149065986
225.2111037,294.6292392,7.904440987,5.326989782
222.8620075,296.4717199,7.75008988,5.494376394
220.4515099,298.2331349,7.56364745,5.773874688
217.9829722,299.9122651,7.380834272,6.020732464
215.4598164,301.5081625,7.085637234,6.397562005
