# x_m,y_m,w_tr_right_m,w_tr_left_m
319.482,-713.0107,6.7179,6.5148
318.82385,-712.97555,6.7242,6.51225
318.1657,-712.9400667,6.729766667,6.511533333
317.507575,-712.90425,6.734725,6.512425
316.84948,-712.86808,6.73914,6.5147
315.53328,-712.79574,6.74814,6.51882
314.21714,-712.7224,6.7557,6.52666
312.90108,-712.64806,6.76218,6.53732
311.5851,-712.57272,6.76792,6.54994
310.26918,-712.49642,6.77326,6.56376
308.95334,-712.41918,6.77858,6.57816
307.63756,-712.34098,6.78416,6.59264
306.32184,-712.26186,6.79024,6.60684
305.00618,-712.18182,6.79694,6.6205
303.69058,-712.10088,6.80434,6.63338
302.37504,-712.01906,6.81236,6.6452
301.05956,-711.93638,6.82096,6.65574
299.74414,-711.85284,6.83,6.66476
298.42878,-711.76848,6.83942,6.67202
297.11348,-711.68328,6.84912,6.67726
295.79824,-711.59726,6.85902,6.68036
294.48306,-711.51046,6.869,6.68126
293.16794,-711.42286,6.87902,6.68004
291.85286,-711.3345,6.88778,6.67688
290.53784,-711.2454,6.89608,6.67212
289.22286,-711.15556,6.90382,6.66604
287.90794,-711.06498,6.91092,6.659
286.59306,-710.9737,6.9173,6.65134
285.27824,-710.88172,6.92408,6.64338
283.96346,-710.78906,6.93028,6.63544
282.64874,-710.69574,6.93582,6.62788
281.33406,-710.60178,6.94064,6.62104
280.01942,-710.50718,6.94462,6.61522
278.70482,-710.41196,6.94766,6.61076
277.39026,-710.31612,6.9497,6.60794
276.07574,-710.21968,6.95072,6.60692
274.76126,-710.12266,6.95066,6.60774
273.44684,-710.02508,6.94956,6.61092
272.13246,-709.92694,6.94746,6.61562
270.81812,-709.82828,6.94438,6.6216
269.5038,-709.7291,6.94036,6.62864
268.18952,-709.62942,6.93546,6.63648
266.87528,-709.52924,6.9297,6.64434
265.56106,-709.42858,6.92314,6.65266
264.24688,-709.32746,6.91582,6.66124
262.93274,-709.2259,6.90778,6.66984
261.61864,-709.12388,6.89906,6.6783
260.30456,-709.02146,6.88972,6.68638
258.99052,-708.91864,6.87976,6.69388
257.6765,-708.81542,6.86926,6.70058
256.36252,-708.71182,6.85826,6.70638
255.04856,-708.60788,6.8468,6.71114
253.73462,-708.50358,6.83492,6.71486
252.4207,-708.39894,6.82266,6.71758
251.1068,-708.294,6.81006,6.71938
249.79292,-708.18874,6.79716,6.7203
248.47906,-708.08318,6.78402,6.72046
247.16522,-707.97736,6.77066,6.71992
245.8514,-707.87128,6.75714,6.71876
244.53762,-707.76494,6.7435,6.71704
243.22386,-707.65838,6.72978,6.71488
241.9101,-707.55162,6.71602,6.71234
240.59636,-707.44464,6.70228,6.7095
239.28264,-707.33748,6.6899,6.70642
237.96892,-707.23014,6.67732,6.70322
236.65522,-707.12266,6.6646,6.69996
235.34154,-707.01502,6.65176,6.6967
234.02786,-706.90726,6.63886,6.69354
232.7142,-706.79938,6.62468,6.6906
231.40056,-706.6914,6.61084,6.68796
230.0869,-706.58332,6.5974,6.68574
