# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.2721,-599.9768,5.7679,6.2061
-1.33235,-599.8541,5.86375,6.33435
-1.539233333,-599.4963,5.994933333,6.244
-1.75965,-599.068375,6.081825,6.0575
-1.97038,-598.60546,6.14436,5.90878
-2.166533333,-598.1210667,6.192333333,5.7812
-2.348414286,-597.6225143,6.230728571,5.681257143
-2.5178375,-597.1144625,6.260875,5.60265
-2.676333333,-596.5996667,6.283966667,5.540466667
-2.82515,-596.0798,6.30033,5.49202
-2.965390909,-595.556,6.311036364,5.454818182
-3.098066667,-595.0290417,6.317,5.426775
-3.224138462,-594.4995077,6.319053846,5.406207692
-3.344478571,-593.9678429,6.317914286,5.391735714
-3.45988,-593.4344,6.31544,5.382226667
-3.57109375,-592.899475,6.31058125,5.37791875
-3.678829412,-592.3633235,6.303958824,5.376376471
-3.783772222,-591.8261611,6.296144444,5.376888889
-3.886578947,-591.2881895,6.287668421,5.3788
-3.9879,-590.74958,6.279025,5.381485
-4.229095,-589.72217,6.29573,5.343345
-4.47373,-588.652715,6.3025,5.292565
-4.700065,-587.576525,6.294215,5.26172
-4.912935,-586.49591,6.281595,5.25878
-5.116275,-585.41263,6.266285,5.26463
-5.31311,-584.327895,6.248895,5.27855
-5.505585,-583.24238,6.22966,5.295125
-5.695135,-582.15635,6.2092,5.312825
-5.882945,-581.06999,6.18786,5.33081
-6.070005,-579.983475,6.16616,5.348155
-6.257125,-578.896935,6.14419,5.36441
-6.44492,-577.810485,6.121945,5.379435
-6.633805,-576.72421,6.09933,5.3933
-6.82396,-575.638145,6.0761,5.406335
-7.015255,-574.55226,6.05088,5.41919
-7.207265,-573.46646,6.02413,5.431795
-7.39986,-572.38071,5.995575,5.44585
-7.59365,-571.29516,5.965795,5.46106
-7.79002,-570.210115,5.936215,5.47627
-7.99092,-569.12603,5.909835,5.490065
-8.1978,-568.04324,5.887425,5.50079
-8.411245,-566.961895,5.86969,5.507935
-8.63098,-565.881975,5.856515,5.51174
-8.85588,-564.80326,5.845435,5.513455
-9.083955,-563.725355,5.83603,5.514045
-9.3125,-562.64771,5.8267,5.51695
-9.539135,-561.569825,5.814295,5.52588
-9.76231,-560.491355,5.79756,5.54059
-9.98127,-559.412095,5.776105,5.56158
-10.196065,-558.331995,5.75032,5.5885
-10.407275,-557.25112,5.721055,5.620405
-10.615785,-556.16963,5.6894,5.656015
-10.822775,-555.08777,5.656665,5.69374
-11.029795,-554.005905,5.624475,5.7316
-11.238865,-552.92453,5.59483,5.767015
-11.45243,-551.844265,5.570305,5.79733
-11.672665,-550.765695,5.553135,5.822455
-11.90049,-549.68909,5.54428,5.838835
-12.13538,-548.61437,5.543275,5.84682
-12.375565,-547.541145,5.547515,5.84771
-12.619195,-546.46897,5.556145,5.84366
-12.86479,-545.397425,5.567975,5.836185
-13.11148,-544.32621,5.582495,5.822965
-13.35927,-543.25523,5.60152,5.80727
-13.60905,-542.184595,5.62478,5.7893
-13.86247,-541.1146,5.65053,5.76683
-14.12087,-540.045495,5.68366,5.73679
-14.384785,-538.97741,5.724625,5.70125
