# x_m,y_m,w_tr_right_m,w_tr_left_m
319.482,-713.0107,6.7179,6.5149
318.82355,-712.97555,6.7242,6.51235
318.1651667,-712.9400333,6.729766667,6.511633333
317.506775,-712.9042,6.734725,6.51255
316.84842,-712.86802,6.73914,6.51484
315.5317,-712.79566,6.74814,6.51898
314.21506,-712.72228,6.7557,6.52684
312.89848,-712.64792,6.76216,6.53752
311.58198,-712.57256,6.76788,6.55014
310.26554,-712.49622,6.7732,6.56396
308.94916,-712.41894,6.77848,6.57836
307.63286,-712.34072,6.78402,6.59282
306.3166,-712.26156,6.79008,6.607
305.00042,-712.18148,6.79674,6.62064
303.6843,-712.10052,6.8041,6.63348
302.36824,-712.01866,6.81208,6.64526
301.05224,-711.93594,6.82062,6.65578
299.7363,-711.85236,6.8296,6.66476
298.42042,-711.76794,6.83896,6.67196
297.1046,-711.6827,6.84858,6.67716
295.78884,-711.59664,6.85842,6.6802
294.47312,-711.50978,6.86834,6.68104
293.15748,-711.42216,6.87828,6.67976
291.84188,-711.33378,6.88814,6.67654
290.52632,-711.24462,6.89674,6.6717
289.21082,-711.15474,6.90478,6.66556
287.89538,-711.06414,6.9122,6.65846
286.57998,-710.9728,6.91892,6.65074
285.26462,-710.88078,6.92486,6.64274
283.94932,-710.78808,6.93104,6.63478
282.63408,-710.69472,6.93656,6.6272
281.31888,-710.6007,6.94134,6.62032
280.00372,-710.50606,6.94528,6.6145
278.68862,-710.41078,6.9483,6.61004
277.37356,-710.3149,6.95032,6.60722
276.05852,-710.21842,6.9513,6.6062
274.74352,-710.12136,6.95122,6.60704
273.42856,-710.02374,6.95008,6.60964
272.11364,-709.92556,6.94792,6.61388
270.79876,-709.82686,6.94478,6.62022
269.48394,-709.72762,6.9407,6.62762
268.16914,-709.62788,6.93574,6.63582
266.85438,-709.52764,6.92992,6.64462
265.53966,-709.42694,6.9233,6.65376
264.22496,-709.32576,6.9159,6.66232
262.91028,-709.22416,6.9078,6.67092
261.59566,-709.12212,6.899,6.67934
260.28106,-709.01966,6.88958,6.68738
258.96648,-708.91678,6.87956,6.69482
257.65194,-708.81352,6.869,6.70148
256.33744,-708.70986,6.8579,6.7072
255.02294,-708.60584,6.84634,6.71192
253.70848,-708.50148,6.83436,6.7156
252.39404,-708.3968,6.822,6.71828
251.07962,-708.2918,6.8093,6.72002
249.76522,-708.1865,6.79632,6.7209
248.45086,-708.08092,6.78308,6.721
247.1365,-707.97506,6.76962,6.7204
245.82218,-707.86894,6.75598,6.71918
244.50788,-707.76256,6.74222,6.71742
243.19358,-707.65596,6.72838,6.71522
241.8793,-707.54914,6.7145,6.71264
240.56504,-707.44212,6.70064,6.70974
239.25078,-707.3349,6.68684,6.70664
237.93654,-707.22752,6.67314,6.7034
236.62232,-707.11998,6.6596,6.7001
235.3081,-707.01228,6.64762,6.69682
233.99392,-706.90446,6.63558,6.69366
232.67974,-706.79652,6.62354,6.69068
231.36556,-706.68848,6.61156,6.68802
230.0514,-706.58036,6.5997,6.6858
228.73724,-706.47218,6.58666,6.68416
227.42308,-706.36392,6.57414,6.68326
226.10892,-706.25564,6.5622,6.68324
224.79478,-706.14734,6.55088,6.68426
223.48062,-706.039,6.54022,6.68644
222.16648,-705.93066,6.53028,6.68996
220.85234,-705.82236,6.52112,6.69496
219.5382,-705.71408,6.5128,6.70162
218.22406,-705.60582,6.50538,6.71006
216.90992,-705.49764,6.4989,6.72046
215.59578,-705.38954,6.49344,6.73294
214.28162,-705.28152,6.48904,6.74756
212.96748,-705.1736,6.48574,6.76422
211.65332,-705.0658,6.4836,6.78266
210.33916,-704.95814,6.48268,6.80244
209.02498,-704.85062,6.48302,6.82298
207.7108,-704.74324,6.48466,6.84364
206.3966,-704.63604,6.4876,6.86374
205.0824,-704.52904,6.49184,6.88262
203.76818,-704.42224,6.49732,6.89964
202.45396,-704.31566,6.50398,6.91416
201.13972,-704.20932,6.51174,6.92548
199.82546,-704.10324,6.52056,6.93296
198.51118,-703.99742,6.53034,6.93598
197.1969,-703.89186,6.54102,6.93386
195.8826,-703.78658,6.55252,6.92614
194.56828,-703.68162,6.5648,6.9127
193.25394,-703.57696,6.57774,6.89372
191.93958,-703.47264,6.5913,6.86966
190.6252,-703.36868,6.6054,6.84132
189.3108,-703.2651,6.61998,6.80962
187.99638,-703.16188,6.63494,6.7755
186.68194,-703.05906,6.65024,6.73984
185.36748,-702.95664,6.6658,6.70358
184.05298,-702.85464,6.68154,6.66764
182.73844,-702.75308,6.6974,6.63294
181.42388,-702.65198,6.7133,6.60038
180.1093,-702.55132,6.72916,6.57092
178.79468,-702.45106,6.74482,6.54552
177.48006,-702.35114,6.76018,6.52518
176.16542,-702.25146,6.77502,6.51092
174.85078,-702.15192,6.78916,6.50378
173.53612,-702.05238,6.80238,6.50484
172.22148,-701.95274,6.8145,6.5148
170.90686,-701.85284,6.82538,6.5337
169.59228,-701.75254,6.83494,6.56086
168.27772,-701.65172,6.84314,6.59492
166.96322,-701.55024,6.84948,6.63778
165.64878,-701.44796,6.85428,6.68224
164.3344,-701.34478,6.85754,6.72554
163.02008,-701.24056,6.85926,6.76496
161.70586,-701.13516,6.85946,6.79802
160.39172,-701.02846,6.85864,6.81906
159.07768,-700.92034,6.85652,6.83202
157.76374,-700.81064,6.85314,6.83722
156.44992,-700.69924,6.84854,6.83576
155.13622,-700.58602,6.84272,6.82934
153.82268,-700.47086,6.8357,6.8197
152.50928,-700.3536,6.82754,6.80856
