# x_m,y_m,w_tr_right_m,w_tr_left_m
319.4820,-713.0107,6.7179,6.5148
318.1647,-712.9404,6.7305,6.5097
316.8475,-712.8690,6.7410,6.5101
315.5304,-712.7966,6.7497,6.5151
314.2134,-712.7232,6.7569,6.5238
312.8964,-712.6488,6.7631,6.5354
311.5795,-712.5734,6.7685,6.5489
310.2626,-712.4970,6.7736,6.5634
308.9458,-712.4197,6.7786,6.5782
307.6291,-712.3414,6.7839,6.5930
306.3125,-712.2622,6.7900,6.6074
304.9959,-712.1821,6.7968,6.6213
303.6794,-712.1011,6.8044,6.6345
302.3629,-712.0192,6.8126,6.6466
301.0465,-711.9364,6.8213,6.6574
299.7301,-711.8528,6.8305,6.6667
298.4139,-711.7683,6.8401,6.6742
297.0976,-711.6831,6.8500,6.6797
295.7815,-711.5970,6.8601,6.6830
294.4653,-711.5101,6.8702,6.6838
293.1493,-711.4224,6.8804,6.6823
291.8333,-711.3340,6.8857,6.6789
290.5173,-711.2448,6.8940,6.6738
289.2014,-711.1548,6.9020,6.6675
287.8856,-711.0642,6.9098,6.6602
286.5698,-710.9728,6.9171,6.6522
285.2540,-710.8807,6.9240,6.6440
283.9383,-710.7880,6.9303,6.6358
282.6227,-710.6946,6.9360,6.6279
281.3071,-710.6005,6.9409,6.6208
279.9915,-710.5058,6.9450,6.6148
278.6760,-710.4105,6.9482,6.6101
277.3605,-710.3145,6.9503,6.6071
276.0451,-710.2180,6.9514,6.6061
274.7297,-710.1209,6.9513,6.6072
273.4143,-710.0232,6.9502,6.6111
272.0990,-709.9250,6.9480,6.6152
270.7837,-709.8262,6.9449,6.6206
269.4685,-709.7270,6.9409,6.6271
268.1533,-709.6272,6.9359,6.6345
266.8381,-709.5269,6.9302,6.6426
265.5230,-709.4261,6.9236,6.6511
264.2079,-709.3249,6.9162,6.6599
262.8928,-709.2232,6.9082,6.6688
261.5778,-709.1211,6.8995,6.6775
260.2628,-709.0186,6.8901,6.6858
258.9478,-708.9157,6.8801,6.6935
257.6328,-708.8124,6.8696,6.7005
256.3179,-708.7087,6.8586,6.7064
255.0030,-708.6046,6.8472,6.7112
