# x_m,y_m,w_tr_right_m,w_tr_left_m
319.482,-713.0107,6.7179,6.5148
318.82335,-712.97555,6.7242,6.51225
318.16473333333334,-712.9400333333333,6.7298,6.511533333333333
317.50615,-712.904175,6.734775,6.512425
316.8476,-712.86798,6.739199999999999,6.5147
315.53048,-712.7956,6.74824,6.51882
314.21344,-712.7221999999999,6.755840000000001,6.52666
312.89646,-712.6478,6.762359999999999,6.537319999999999
311.57954,-712.5724200000001,6.76814,6.549939999999999
310.26268,-712.49606,6.77354,6.5637799999999995
308.9459,-712.4187400000001,6.778919999999999,6.578179999999999
307.62918,-712.3404800000001,6.78458,6.59266
306.31254,-712.2613,6.7907399999999996,6.606879999999999
304.99596,-712.1812,6.797540000000001,6.62056
303.67944,-712.1002000000001,6.805020000000001,6.63344
302.36296000000004,-712.0183199999999,6.8131200000000005,6.645300000000001
301.04656000000006,-711.93556,6.8217799999999995,6.655880000000001
299.7302,-711.85196,6.8309,6.6649199999999995
298.41392,-711.7675200000001,6.8404,6.672199999999999
297.09767999999997,-711.68226,6.85018,6.67748
295.78152,-711.59618,6.860159999999999,6.6806
294.46539999999993,-711.5093199999999,6.869280000000001,6.68154
293.14934000000005,-711.42166,6.87808,6.6803599999999985
291.83332,-711.33322,6.88646,6.6772599999999995
290.51737999999995,-711.2440399999999,6.894380000000001,6.67254
289.20148,-711.1541199999999,6.90172,6.66652
287.88562,-711.0634600000001,6.9093800000000005,6.65954
286.56982000000005,-710.9721000000001,6.916640000000001,6.651939999999999
285.25408,-710.8800600000001,6.923439999999999,6.64402
283.93837999999994,-710.7873200000001,6.92966,6.63614
282.62272,-710.69392,6.93524,6.628659999999999
281.30712,-710.59988,6.94008,6.62188
279.99156,-710.50518,6.94408,6.61614
278.67603999999994,-710.40986,6.947159999999999,6.61178
277.36055999999996,-710.31394,6.9492400000000005,6.6090599999999995
276.04512,-710.21742,6.950280000000001,6.608319999999999
274.72972,-710.12032,6.950239999999999,6.60934
273.41436000000004,-710.02266,6.949159999999999,6.61204
272.09904,-709.92446,6.947059999999999,6.61624
270.78376,-709.82572,6.943979999999999,6.6217
269.46852,-709.7264600000001,6.93998,6.628
268.15332,-709.62668,6.9351,6.63518
266.83815999999996,-709.5264199999999,6.92936,6.643040000000001
265.52302,-709.42566,6.92282,6.6513800000000005
264.20792,-709.32444,6.91554,6.65998
262.89286000000004,-709.2227800000001,6.90752,6.66862
261.57782,-709.1207,6.898820000000001,6.6771
260.2628,-709.0182,6.8895,6.685219999999999
258.94782,-708.9153,6.87958,6.692740000000001
257.63286,-708.812,6.86912,6.699479999999999
256.31792,-708.70832,6.85816,6.705299999999999
255.00302000000002,-708.6042799999999,6.84674,6.710120000000001
253.68816,-708.4998800000001,6.834919999999999,6.7138800000000005
252.37332,-708.39516,6.8227199999999995,6.71664
251.0585,-708.2901199999999,6.81018,6.71846
249.7437,-708.1847799999999,6.79734,6.7194400000000005
248.42892,-708.07914,6.784260000000001,6.71964
247.11416,-707.97324,6.7709600000000005,6.71914
245.79942,-707.86708,6.7575,6.71802
244.48470000000003,-707.7606800000001,6.74392,6.716379999999999
243.17,-707.65404,6.7302800000000005,6.71426
241.85532000000003,-707.54718,6.717820000000001,6.71176
240.54066000000003,-707.44012,6.7050600000000005,6.7089799999999995
239.22599999999997,-707.33286,6.692060000000001,6.705980000000001
237.91136,-707.2254399999999,6.678839999999999,6.70282
236.59674,-707.1178600000001,6.66546,6.69962
235.28212,-707.01014,6.65078,6.69644
233.96750000000003,-706.90228,6.63634,6.69336
232.65292,-706.79432,6.622199999999999,6.690479999999999
