# x_m,y_m,w_tr_right_m,w_tr_left_m
319.482,-713.0107,6.7179,6.5154
318.8223,-712.9755,6.7242,6.5129
318.1626,-712.9399333,6.7298,6.512233333
317.502925,-712.904,6.734775,6.513175
316.84328,-712.86774,6.7392,6.5155
315.52398,-712.79524,6.74822,6.5197
314.20474,-712.7217,6.7558,6.5276
312.88558,-712.64716,6.76228,6.5383
311.5665,-712.57164,6.76802,6.55094
310.24748,-712.49514,6.77336,6.56476
308.92854,-712.41768,6.77868,6.57914
307.60966,-712.33928,6.78426,6.59358
306.29084,-712.25996,6.79034,6.60772
304.97208,-712.17972,6.79702,6.62128
303.65338,-712.09858,6.8044,6.63404
302.33474,-712.01654,6.81238,6.64574
301.01616,-711.93364,6.82092,6.65614
299.69764,-711.84988,6.8299,6.66498
298.37918,-711.76528,6.83926,6.67204
297.06078,-711.67984,6.84888,6.67706
295.74244,-711.5936,6.85868,6.6799
294.42416,-711.50656,6.86856,6.68054
293.10594,-711.41872,6.87844,6.67908
291.78776,-711.33012,6.88824,6.6757
290.46964,-711.24078,6.89692,6.6707
289.15158,-711.15068,6.9051,6.66442
287.83356,-711.05986,6.91266,6.6572
286.5156,-710.96832,6.91954,6.64938
285.19768,-710.87608,6.92564,6.64128
283.87982,-710.78316,6.93182,6.63326
282.56198,-710.68958,6.93732,6.62566
281.2442,-710.59534,6.94208,6.61878
279.92646,-710.50048,6.94598,6.61298
278.60878,-710.40498,6.94894,6.6086
277.29112,-710.30886,6.9509,6.60588
275.97352,-710.21216,6.95182,6.60496
274.65596,-710.11488,6.95166,6.6059
273.33844,-710.01702,6.95044,6.60862
272.02096,-709.91862,6.9482,6.61294
270.70352,-709.81968,6.94498,6.61864
269.38612,-709.72022,6.9408,6.62554
268.06876,-709.62024,6.93574,6.6334
266.75142,-709.51978,6.92982,6.64286
265.43412,-709.41884,6.92308,6.65266
264.11686,-709.31744,6.91558,6.66258
262.79962,-709.21558,6.90736,6.67236
261.48242,-709.1133,6.89844,6.68178
260.16524,-709.0106,6.8889,6.68974
258.8481,-708.9075,6.87876,6.69708
257.53098,-708.804,6.86806,6.7036
256.2139,-708.70012,6.85684,6.70916
254.89684,-708.59588,6.84516,6.7137
253.57982,-708.49128,6.83304,6.7172
252.2628,-708.38636,6.82054,6.7197
250.94582,-708.28112,6.8077,6.72126
249.62884,-708.17558,6.79456,6.72198
248.31188,-708.06974,6.78116,6.72194
246.99496,-707.96364,6.76754,6.72122
245.67806,-707.85726,6.75376,6.71986
244.36116,-707.75066,6.73984,6.718
243.0443,-707.64382,6.72586,6.71568
241.72746,-707.53676,6.71182,6.713
240.41062,-707.4295,6.6978,6.71002
239.0938,-707.32206,6.68384,6.70684
237.777,-707.21444,6.67,6.70352
236.46022,-707.10666,6.6563,6.70018
235.14344,-706.99876,6.64284,6.69686
