# x_m,y_m,w_tr_right_m,w_tr_left_m
319.482,-713.0107,6.7179,6.5153
318.8223,-712.9755,6.7242,6.5128
318.1626667,-712.9399333,6.7298,6.512166667
317.503025,-712.904025,6.734775,6.513125
316.84342,-712.86776,6.7392,6.51546
315.5242,-712.79526,6.74822,6.51968
314.20506,-712.72172,6.7558,6.5276
312.88598,-712.64718,6.76228,6.5383
311.56698,-712.57166,6.76802,6.55094
310.24804,-712.49518,6.77336,6.56476
308.92916,-712.41772,6.77868,6.57912
307.61036,-712.33934,6.78426,6.59354
306.29162,-712.26002,6.79032,6.60768
304.97294,-712.17978,6.797,6.62124
303.65432,-712.09864,6.80436,6.634
302.33578,-712.01662,6.81234,6.64572
301.01728,-711.93372,6.82086,6.65614
299.69884,-711.84996,6.82984,6.66498
298.38046,-711.76536,6.83918,6.67204
297.06214,-711.67992,6.8488,6.67708
295.74388,-711.59368,6.8586,6.67994
294.42568,-711.50664,6.8685,6.6806
293.10752,-711.41882,6.8784,6.67914
291.78942,-711.33022,6.8882,6.67576
290.47138,-711.24088,6.89692,6.67076
289.15338,-711.15078,6.9051,6.66448
287.83544,-711.05996,6.91266,6.65726
286.51756,-710.96844,6.91954,6.64946
285.19972,-710.87622,6.92566,6.64138
283.88192,-710.7833,6.93182,6.63336
282.56418,-710.68974,6.93732,6.62576
281.24648,-710.59552,6.94208,6.61888
279.92882,-710.50064,6.94598,6.61308
278.61122,-710.40514,6.94894,6.6087
277.29366,-710.30904,6.9509,6.60598
275.97614,-710.21234,6.95182,6.60506
274.65866,-710.11506,6.95166,6.606
273.34122,-710.01722,6.95044,6.60872
272.02382,-709.91882,6.9482,6.61304
270.70646,-709.8199,6.94498,6.61874
269.38912,-709.72044,6.94082,6.62562
268.07182,-709.62048,6.93576,6.63348
266.75456,-709.52002,6.92984,6.6429
265.43734,-709.4191,6.92312,6.65264
264.12014,-709.3177,6.91562,6.6625
262.80298,-709.21586,6.90738,6.67224
261.48586,-709.11358,6.89846,6.6816
260.16876,-709.0109,6.88892,6.68954
258.85168,-708.9078,6.87876,6.69688
257.53466,-708.8043,6.86806,6.70342
256.21766,-708.70042,6.85686,6.709
254.90068,-708.59618,6.84518,6.71356
253.58374,-708.49158,6.83306,6.71708
252.26682,-708.38666,6.82056,6.7196
250.9499,-708.28144,6.80772,6.72116
249.63302,-708.1759,6.79458,6.72188
248.31614,-708.07008,6.78118,6.72184
246.99928,-707.964,6.76758,6.72112
245.68246,-707.85764,6.7538,6.71978
244.36566,-707.75104,6.7399,6.71792
243.04886,-707.64422,6.7259,6.71562
241.7321,-707.53716,6.71188,6.71294
240.41536,-707.4299,6.69786,6.70996
239.09862,-707.32246,6.6839,6.70678
237.7819,-707.21484,6.67004,6.70348
236.4652,-707.10708,6.65634,6.70012
235.1485,-706.99918,6.64286,6.6968
233.8318,-706.89114,6.62966,6.6936
232.51512,-706.783,6.61678,6.69062
231.19844,-706.67476,6.60428,6.68798
229.88176,-706.56642,6.59222,6.6858
228.5651,-706.45802,6.58164,6.68422
227.24846,-706.34956,6.57128,6.6834
225.9318,-706.24106,6.5612,6.6835
224.61516,-706.13252,6.55144,6.68464
223.29854,-706.02398,6.54206,6.687
221.9819,-705.91544,6.5321,6.69074
220.66526,-705.80694,6.52292,6.696
219.34862,-705.69846,6.5146,6.70292
218.03198,-705.59002,6.50716,6.71166
216.71534,-705.48164,6.50068,6.72238
215.3987,-705.37334,6.4952,6.73522
214.08206,-705.26512,6.49078,6.7502
212.76542,-705.157,6.48746,6.76718
211.44876,-705.04902,6.48532,6.7859
210.1321,-704.94118,6.48438,6.80588
208.81544,-704.83348,6.48472,6.8265
207.49876,-704.72594,6.48636,6.8471
206.18208,-704.61858,6.4893,6.86704
204.86538,-704.51142,6.49354,6.88564
203.54866,-704.40444,6.49902,6.90222
202.23194,-704.2977,6.50566,6.91614
200.9152,-704.1912,6.5134,6.92676
199.59844,-704.08494,6.52218,6.9334
198.28168,-703.97894,6.5319,6.9354
196.9649,-703.87324,6.54252,6.93214
195.6481,-703.76782,6.55398,6.92322
194.33128,-703.6627,6.56618,6.90856
193.01444,-703.55792,6.57906,6.88838
191.69758,-703.45348,6.59254,6.86326
190.3807,-703.3494,6.60654,6.83406
189.06378,-703.24568,6.621,6.80168
187.74686,-703.14234,6.63586,6.76704
186.42992,-703.0394,6.65104,6.73108
185.11294,-702.93686,6.66646,6.69472
183.79594,-702.83474,6.68208,6.65888
182.47892,-702.73308,6.69778,6.62448
181.16186,-702.63188,6.71352,6.59244
179.84478,-702.53112,6.72918,6.56374
178.52768,-702.43076,6.74466,6.53932
177.21054,-702.33072,6.75978,6.5202
175.8934,-702.2309,6.77436,6.50742
174.57626,-702.13118,6.7882,6.50206
173.2591,-702.03144,6.80108,6.50512
171.94198,-701.93154,6.81282,6.5172
170.62488,-701.83136,6.82328,6.53816
169.3078,-701.73076,6.8324,6.56714
167.99076,-701.62962,6.84012,6.60258
166.67378,-701.52778,6.84648,6.64224
165.35684,-701.42514,6.8515,6.68364
164.03998,-701.32154,6.8552,6.72692
162.7232,-701.21686,6.85762,6.7656
161.4065,-701.11098,6.85876,6.79742
160.0899,-701.00376,6.85866,6.82092
158.7734,-700.89506,6.85764,6.83548
157.457,-700.78478,6.85512,6.8387
156.14072,-700.67276,6.8511,6.8357
154.82456,-700.55886,6.8456,6.82816
153.50854,-700.44298,6.8386,6.81784
152.19266,-700.32498,6.82982,6.80648
150.87696,-700.2047,6.81988,6.79584
149.56142,-700.08204,6.8088,6.78762
148.24604,-699.95688,6.79662,6.78358
146.93084,-699.82906,6.78336,6.78546
145.61584,-699.69844,6.76916,6.795
144.30104,-699.56492,6.75448,6.81348
142.98644,-699.42834,6.7401,6.8407
141.67208,-699.28854,6.7271,6.87482
140.358,-699.14514,6.71666,6.91262
139.04434,-698.99744,6.70982,6.9496
137.73126,-698.84438,6.70734,6.98032
136.41906,-698.6846,6.70962,6.9996
135.10804,-698.51644,6.71522,7.00256
133.79854,-698.33816,6.72356,6.97448
132.4909,-698.148,6.73452,6.92326
131.18546,-697.94422,6.74794,6.85596
129.88254,-697.72508,6.76368,6.78498
128.5825,-697.48884,6.78316,6.72444
127.28568,-697.23374,6.80674,6.69648
125.99258,-696.95808,6.82864,6.70154
124.70392,-696.6602,6.8506,6.72924
123.42066,-696.33848,6.87148,6.76948
122.14394,-695.99136,6.8897,6.81182
120.87516,-695.61732,6.90082,6.84728
119.61572,-695.21486,6.90804,6.86712
118.36708,-694.78248,6.9069,6.87794
117.13058,-694.31886,6.89852,6.88124
115.90706,-693.82356,6.87648,6.87832
114.69674,-693.29728,6.84394,6.87348
113.49926,-692.7418,6.80298,6.87074
112.31366,-692.16004,6.75642,6.87138
111.13844,-691.55582,6.70846,6.87858
109.97202,-690.93318,6.6624,6.89084
108.81282,-690.2961,6.62142,6.90668
107.6595,-689.64806,6.58776,6.92424
106.51092,-688.99176,6.5628,6.9416
105.36628,-688.32916,6.54356,6.95518
104.22506,-687.66144,6.53564,6.96572
103.087,-686.98908,6.53784,6.97218
101.95192,-686.3123,6.54876,6.97382
100.81968,-685.63128,6.56696,6.96986
99.69012,-684.94626,6.591,6.95954
98.56306,-684.25744,6.61944,6.94224
97.43836,-683.56504,6.65086,6.91774
96.31584,-682.86926,6.6838,6.8863
95.19536,-682.17034,6.71692,6.84866
94.07674,-681.46846,6.74916,6.80604
92.95982,-680.76386,6.77978,6.75994
91.84444,-680.05672,6.8061,6.71198
90.73046,-679.34726,6.83,6.66376
89.61774,-678.63564,6.85162,6.61692
88.5062,-677.92202,6.8711,6.57312
87.39576,-677.2065,6.88854,6.53408
86.28638,-676.4892,6.90628,6.50062
85.178,-675.77018,6.92242,6.47638
84.0706,-675.04956,6.93696,6.46328
82.9641,-674.3274,6.94996,6.4632
81.8585,-673.60378,6.96146,6.47728
80.75374,-672.8788,6.9715,6.50652
79.64978,-672.15256,6.9801,6.54812
78.54658,-671.4251,6.98732,6.59996
77.44412,-670.69654,6.99318,6.6589
76.34234,-669.96696,6.9977,6.72156
75.24118,-669.23644,7.00092,6.78452
74.14064,-668.50506,7.00284,6.84434
73.04064,-667.77292,7.00344,6.89762
71.94116,-667.04008,7.00268,6.94096
70.84216,-666.30666,7.00052,6.9709
69.7436,-665.57272,6.99686,6.98442
68.64544,-664.83836,6.99166,6.97994
67.54764,-664.10364,6.98484,6.95748
66.45016,-663.36868,6.97632,6.91868
65.35296,-662.63354,6.96604,6.8668
64.256,-661.89832,6.95396,6.8063
63.15922,-661.16308,6.93998,6.74184
62.0626,-660.42794,6.92404,6.67802
60.96606,-659.69298,6.90612,6.61886
59.86952,-658.95832,6.88618,6.5673
58.77288,-658.22406,6.8642,6.52514
57.67602,-657.49036,6.84022,6.49304
56.5788,-656.75734,6.81428,6.47058
55.48108,-656.02516,6.78642,6.4568
54.38272,-655.29394,6.75666,6.45072
53.28358,-654.56384,6.72506,6.45136
52.18352,-653.835,6.69164,6.45774
51.0824,-653.10758,6.65646,6.46886
49.98006,-652.3817,6.61952,6.48376
48.87636,-651.65752,6.5809,6.50146
47.77116,-650.93518,6.54068,6.52098
46.66432,-650.21482,6.49922,6.54134
45.5557,-649.4966,6.45708,6.56158
44.44516,-648.78066,6.41506,6.58072
43.33256,-648.06712,6.37418,6.59776
42.21776,-647.35616,6.33564,6.61172
41.1006,-646.6479,6.30062,6.62164
39.98094,-645.94248,6.27028,6.62654
38.85864,-645.24006,6.24586,6.62552
37.73356,-644.54078,6.22852,6.61778
36.60574,-643.84456,6.21916,6.6029
35.47556,-643.15094,6.2182,6.58106
34.34368,-642.45906,6.22556,6.55308
33.21116,-641.76766,6.24062,6.5203
32.07936,-641.0751,6.26224,6.48462
30.94978,-640.3795,6.2891,6.44816
29.82396,-639.67904,6.31598,6.41304
28.70344,-638.97186,6.34382,6.38138
27.58976,-638.25608,6.37112,6.3553
26.48442,-637.52986,6.3964,6.33624
25.38898,-636.79134,6.41812,6.3263
24.30494,-636.03866,6.43864,6.32762
23.23386,-635.26996,6.45394,6.34238
22.17722,-634.4834,6.46056,6.3725
21.13658,-633.67712,6.457,6.42762
20.11298,-632.84984,6.44246,6.49792
19.10648,-632.00142,6.41766,6.58046
18.11608,-631.13296,6.38784,6.66994
17.13974,-630.24678,6.35364,6.759
16.17438,-629.34642,6.3206,6.83088
15.21636,-628.43608,6.29514,6.88528
14.262,-627.52,6.28374,6.91298
13.30806,-626.60202,6.28956,6.90666
12.35472,-625.68284,6.3192,6.86512
