# x_m,y_m,w_tr_right_m,w_tr_left_m
319.482,-713.0107,6.7179,6.5148
318.82335,-712.97555,6.7242,6.5122
318.16473333333334,-712.9400333333333,6.7298,6.511466666666666
317.50615,-712.904175,6.734775,6.5123750000000005
316.8476,-712.86798,6.739199999999999,6.514660000000001
315.53048,-712.7956,6.74824,6.51876
314.21344,-712.7221999999999,6.755840000000001,6.5266
312.89646,-712.6478,6.762359999999999,6.53728
311.57954,-712.5724200000001,6.76814,6.549899999999999
310.26268,-712.49606,6.77354,6.563720000000001
308.9459,-712.4187400000001,6.778919999999999,6.57814
307.62918,-712.3404800000001,6.78458,6.59264
306.31254,-712.2613,6.7907399999999996,6.60686
304.99596,-712.1812,6.797540000000001,6.62054
303.67944,-712.1002000000001,6.805020000000001,6.63344
302.36296000000004,-712.0183199999999,6.8131200000000005,6.645300000000001
301.04656000000006,-711.93556,6.8217799999999995,6.655880000000001
299.7302,-711.85196,6.8309,6.66494
298.41392,-711.7675200000001,6.8404,6.67224
297.09767999999997,-711.68226,6.85018,6.677539999999999
295.78152,-711.59618,6.860159999999999,6.6807
294.46539999999993,-711.5093199999999,6.869280000000001,6.681660000000001
293.14934000000005,-711.42166,6.87808,6.6805
291.83332,-711.33322,6.88646,6.677420000000001
290.51737999999995,-711.2440399999999,6.894380000000001,6.67272
289.20148,-711.1541199999999,6.90172,6.6667000000000005
287.88562,-711.0634600000001,6.9093800000000005,6.659740000000001
286.56982000000005,-710.9721000000001,6.916640000000001,6.65214
285.25408,-710.8800600000001,6.923439999999999,6.644239999999999
283.93837999999994,-710.7873200000001,6.92966,6.63638
282.62272,-710.69392,6.93524,6.6289
281.30712,-710.59988,6.94008,6.62214
279.99156,-710.50518,6.94408,6.61642
278.67603999999994,-710.40986,6.947159999999999,6.61206
277.36055999999996,-710.31394,6.9492400000000005,6.6094800000000005
276.04512,-710.21742,6.950280000000001,6.608639999999999
274.72972,-710.12032,6.950239999999999,6.60954
273.41436000000004,-710.02266,6.949159999999999,6.612100000000001
272.09904,-709.92446,6.947059999999999,6.61618
270.78376,-709.82572,6.943979999999999,6.62136
269.46852,-709.7264600000001,6.93998,6.6276399999999995
268.15332,-709.62668,6.9351,6.63482
266.83815999999996,-709.5264199999999,6.92936,6.6427000000000005
265.52302,-709.42566,6.92282,6.65104
264.20792,-709.32444,6.91554,6.65966
262.89286000000004,-709.2227800000001,6.90752,6.66832
261.57782,-709.1207,6.898820000000001,6.6768
260.2628,-709.0182,6.8895,6.68492
258.94782,-708.9153,6.87958,6.69246
257.63286,-708.812,6.86912,6.6992199999999995
256.31792,-708.70832,6.85816,6.7050600000000005
255.00302000000002,-708.6042799999999,6.84674,6.7099
253.68816,-708.4998800000001,6.834919999999999,6.713679999999999
252.37332,-708.39516,6.8227199999999995,6.7164600000000005
251.0585,-708.2901199999999,6.81018,6.718300000000001
249.7437,-708.1847799999999,6.79734,6.71928
248.42892,-708.07914,6.784260000000001,6.71948
247.11416,-707.97324,6.7709600000000005,6.718999999999999
245.79942,-707.86708,6.7575,6.7179
244.48470000000003,-707.7606800000001,6.74392,6.71626
243.17,-707.65404,6.7302800000000005,6.714180000000001
241.85532000000003,-707.54718,6.717820000000001,6.71172
240.54066000000003,-707.44012,6.7050600000000005,6.70896
239.22599999999997,-707.33286,6.692060000000001,6.70596
237.91136,-707.2254399999999,6.678839999999999,6.70284
236.59674,-707.1178600000001,6.66546,6.69964
235.28212,-707.01014,6.65078,6.696479999999999
233.96750000000003,-706.90228,6.63634,6.693420000000001
232.65292,-706.79432,6.622199999999999,6.69056
231.33833999999996,-706.68624,6.60844,6.688
230.02375999999998,-706.57808,6.5950999999999995,6.68588
228.70919999999995,-706.46986,6.5822199999999995,6.684340000000001
227.39464000000004,-706.36158,6.5698799999999995,6.68352
226.08008,-706.2532600000001,6.55812,6.683580000000001
224.76552,-706.14492,6.547,6.684660000000001
223.45098,-706.03656,6.53656,6.686920000000001
222.13642,-705.9282,6.526860000000001,6.6905
220.82188000000002,-705.81986,6.5179599999999995,6.69556
219.50732,-705.71154,6.5099,6.70226
218.19278,-705.60326,6.50274,6.7107399999999995
216.87822,-705.49504,6.49654,6.72116
215.56368000000003,-705.3869,6.49136,6.733639999999999
214.24912,-705.27884,6.48724,6.748279999999999
212.93456,-705.1708799999999,6.48424,6.764959999999999
211.62000000000003,-705.0630600000001,6.48242,6.783440000000001
210.30544,-704.95536,6.481820000000001,6.8033
208.99086000000003,-704.8478,6.4825,6.82396
207.67628,-704.74042,6.4844800000000005,6.844760000000001
206.36168000000004,-704.6332,6.487780000000001,6.8650400000000005
205.04706000000002,-704.52616,6.492360000000001,6.88416
203.73244,-704.41934,6.4982,6.90146
202.4178,-704.31274,6.50522,6.91628
201.10314,-704.2063599999999,6.5133399999999995,6.92798
199.78848,-704.10024,6.522499999999999,6.935899999999999
198.4738,-703.99438,6.532639999999999,6.93938
197.1591,-703.8888,6.54366,6.93776
195.8444,-703.7835,6.555499999999999,6.9306
194.52968,-703.6785199999999,6.568099999999999,6.917700000000001
193.21494,-703.5738600000001,6.58138,6.899240000000001
191.90018,-703.4695399999999,6.595259999999999,6.87568
190.5854,-703.36556,6.60968,6.847799999999999
189.27058,-703.26196,6.62456,6.8165000000000004
187.95574,-703.15872,6.6398399999999995,6.7789600000000005
186.64088,-703.05588,6.6554400000000005,6.7398
185.326,-702.95344,6.671259999999999,6.70002
184.01108,-702.85142,6.6872799999999994,6.660639999999999
182.69614,-702.7498400000001,6.7034,6.622660000000001
181.38118,-702.64872,6.719539999999999,6.59084
180.06620000000004,-702.54804,6.73562,6.5625
178.75118,-702.44776,6.75,6.5386
177.43616000000003,-702.3478400000001,6.76384,6.52014
176.12112,-702.2481399999999,6.776999999999999,6.508160000000001
174.80606,-702.14858,6.78928,6.5037
173.49099999999999,-702.049,6.800459999999999,6.50774
172.17596,-701.9493,6.8119,6.52076
170.86092,-701.84934,6.822100000000001,6.54246
169.54592,-701.749,6.83096,6.57188
168.23098,-701.6481200000001,6.838420000000001,6.607340000000001
166.91608000000002,-701.5466,6.84448,6.64654
165.60121999999998,-701.44428,6.84914,6.686959999999999
164.28644000000003,-701.34104,6.852460000000001,6.726139999999999
162.97174,-701.2367399999999,6.85442,6.76158
161.65709999999999,-701.1312599999999,6.855079999999999,6.79104
160.34256,-701.02446,6.854459999999999,6.81306
159.02812,-700.9162399999999,6.852580000000001,6.82706
157.71377999999999,-700.8064400000001,6.849459999999999,6.833239999999999
156.39956,-700.69494,6.84512,6.832679999999999
155.08548000000002,-700.58162,6.8396,6.82706
153.77151999999998,-700.46634,6.83292,6.818099999999999
152.45772000000002,-700.34896,6.825100000000001,6.8075
151.14407999999997,-700.22934,6.81618,6.797020000000001
149.83058,-700.10738,6.8062,6.788380000000001
148.51726000000002,-699.98292,6.79516,6.7832799999999995
147.20412000000002,-699.85584,6.78308,6.78346
145.89115999999999,-699.72602,6.7701400000000005,6.79066
144.5784,-699.59334,6.75676,6.80644
143.26586,-699.45764,6.74376,6.831180000000001
141.95352,-699.31878,6.73222,6.8637
140.64144,-699.1764599999999,6.72272,6.90132
139.32976000000002,-699.03,6.71554,6.940099999999999
138.01862,-698.8784400000001,6.711319999999999,6.97402
136.70828,-698.7205200000001,6.71036,6.9952
135.39903999999999,-698.5546400000001,6.712680000000001,6.9980400000000005
134.09126,-698.37904,6.718819999999999,6.977679999999999
132.78524,-698.192,6.72946,6.93336
131.48134,-697.9917800000001,6.7446600000000005,6.8708
130.17988,-697.77664,6.76132,6.802960000000001
128.88122,-697.54484,6.7798,6.7459999999999996
127.58568,-697.2946400000001,6.799940000000001,6.711679999999999
126.29371999999998,-697.0243399999999,6.82136,6.70532
125.006,-696.73228,6.843300000000001,6.7247200000000005
123.7234,-696.4168199999999,6.864500000000001,6.76146
122.44703999999999,-696.0764,6.88344,6.80236
121.17824,-695.70952,6.8984000000000005,6.8372
119.91842,-695.31466,6.907500000000001,6.86254
118.66900000000001,-694.8903399999999,6.9079999999999995,6.87682
117.43139999999998,-694.43512,6.899179999999999,6.88086
116.20658,-693.94834,6.8797,6.87844
114.99492000000001,-693.4304,6.85442,6.87506
113.79621999999999,-692.8828000000001,6.8173200000000005,6.8723800000000015
112.60968,-692.30816,6.77184,6.87214
111.43388,-691.71016,6.7236199999999995,6.87688
110.26726,-691.09278,6.6762,6.88626
109.10824,-690.46,6.628139999999999,6.899179999999999
107.95536,-689.8154999999999,6.5894,6.91428
106.80745999999999,-689.1621600000001,6.561400000000001,6.93098
105.66368,-688.5020999999999,6.54474,6.94708
104.5234,-687.8367000000001,6.539199999999999,6.96066
103.38632,-687.1666,6.54096,6.9704999999999995
102.25228,-686.49202,6.55006,6.975820000000001
101.12109999999998,-685.8131799999999,6.56524,6.9759
99.99264000000001,-685.13028,6.58516,6.96996
98.86671999999999,-684.44354,6.6086,6.95326
97.74318000000001,-683.75318,6.63708,6.92824
96.62186,-683.0594199999999,6.66786,6.89512
95.50262000000001,-682.3624400000001,6.69952,6.85458
94.38526,-681.66246,6.7309,6.807779999999999
93.26966,-680.9597,6.7610600000000005,6.76032
92.15563999999999,-680.2543800000001,6.789440000000001,6.7111
91.04306,-679.5466600000001,6.8158199999999995,6.66172
89.93176,-678.8367599999999,6.84024,6.61378
88.82168,-678.12482,6.862779999999999,6.56892
87.7127,-677.41098,6.88356,6.52886
86.60478,-676.69532,6.90266,6.4953
85.49786,-675.97794,6.920100000000001,6.46998
84.39194,-675.25892,6.93592,6.45464
83.28694,-674.5383400000001,6.950160000000001,6.451040000000001
