# x_m,y_m,w_tr_right_m,w_tr_left_m
319.482,-713.0107,6.7179,6.5147
318.82335,-712.97555,6.7242,6.51215
318.16473333333334,-712.9400333333333,6.7298,6.511433333333334
317.50615,-712.904175,6.734775,6.512325
316.8476,-712.86798,6.739199999999999,6.514619999999999
315.53048,-712.7956,6.74824,6.518739999999999
314.21344,-712.7221999999999,6.755840000000001,6.52658
312.89646,-712.6478,6.762359999999999,6.537260000000001
311.57954,-712.5724200000001,6.76814,6.549899999999999
310.26268,-712.49606,6.77354,6.563719999999999
308.9459,-712.4187400000001,6.778919999999999,6.57814
307.62918,-712.3404800000001,6.78458,6.59264
306.31254,-712.2613,6.7907399999999996,6.60684
304.99596,-712.1812,6.797540000000001,6.620520000000001
303.67944,-712.1002000000001,6.805020000000001,6.633419999999999
302.36296000000004,-712.0183199999999,6.81314,6.64528
301.04656000000006,-711.93556,6.821799999999999,6.655879999999999
299.7302,-711.85196,6.830919999999999,6.664959999999999
298.41392,-711.7675200000001,6.84042,6.67226
297.09767999999997,-711.68226,6.85022,6.67756
295.78152,-711.59618,6.86018,6.680719999999999
294.46539999999993,-711.5093199999999,6.8693,6.68168
293.14934000000005,-711.42166,6.87808,6.68052
291.83332,-711.33322,6.88646,6.67744
290.51737999999995,-711.2440399999999,6.89434,6.67274
289.20148,-711.1541199999999,6.901680000000001,6.66674
287.88562,-711.0634600000001,6.90934,6.65976
286.56982000000005,-710.9721000000001,6.91662,6.6521799999999995
285.25408,-710.8800600000001,6.92342,6.644299999999999
283.93837999999994,-710.7873200000001,6.92966,6.63646
282.62272,-710.69392,6.93524,6.62898
281.30712,-710.59988,6.94008,6.62222
279.99156,-710.50518,6.94408,6.61648
278.67603999999994,-710.40986,6.94714,6.61212
277.36055999999996,-710.31394,6.9492199999999995,6.6095
276.04512,-710.21742,6.95026,6.60862
274.72972,-710.12032,6.95022,6.6095
273.41436000000004,-710.02266,6.94914,6.61206
272.09904,-709.92446,6.9470600000000005,6.6161
270.78376,-709.82572,6.943980000000001,6.6213
269.46852,-709.7264600000001,6.93998,6.627599999999999
268.15332,-709.62668,6.9351,6.634779999999999
266.83815999999996,-709.5264199999999,6.92936,6.64264
265.52302,-709.42566,6.92282,6.65098
264.20792,-709.32444,6.91554,6.65958
262.89286000000004,-709.2227800000001,6.907520000000001,6.66822
261.57782,-709.1207,6.89884,6.67672
260.2628,-709.0182,6.889539999999999,6.6848399999999994
258.94782,-708.9153,6.87964,6.69238
257.63286,-708.812,6.86918,6.69914
256.31792,-708.70832,6.85822,6.704980000000001
255.00302000000002,-708.6042799999999,6.8468,6.7097999999999995
253.68816,-708.4998800000001,6.834960000000001,6.7136
252.37332,-708.39516,6.8227400000000005,6.716379999999999
251.0585,-708.2901199999999,6.8102,6.71824
249.7437,-708.1847799999999,6.79736,6.719239999999999
248.42892,-708.07914,6.78428,6.71946
247.11416,-707.97324,6.771000000000001,6.71898
245.79942,-707.86708,6.757560000000001,6.717880000000001
244.48470000000003,-707.7606800000001,6.744,6.716240000000001
243.17,-707.65404,6.730379999999999,6.71414
241.85532000000003,-707.54718,6.717879999999999,6.711679999999999
240.54066000000003,-707.44012,6.705080000000001,6.708919999999999
239.22599999999997,-707.33286,6.69204,6.70594
237.91136,-707.2254399999999,6.6788,6.70282
236.59674,-707.1178600000001,6.6654,6.6996400000000005
235.28212,-707.01014,6.65072,6.696479999999999
233.96750000000003,-706.90228,6.6363,6.693420000000001
232.65292,-706.79432,6.62218,6.69056
231.33833999999996,-706.68624,6.60842,6.688
230.02375999999998,-706.57808,6.59508,6.685899999999999
228.70919999999995,-706.46986,6.5822199999999995,6.68436
227.39464000000004,-706.36158,6.56988,6.683539999999999
226.08008,-706.2532600000001,6.55812,6.6836
224.76552,-706.14492,6.5469800000000005,6.684699999999999
223.45098,-706.03656,6.53654,6.686959999999999
222.13642,-705.9282,6.52684,6.69054
220.82188000000002,-705.81986,6.517919999999999,6.695600000000001
219.50732,-705.71154,6.509859999999999,6.702299999999999
218.19278,-705.60326,6.502720000000001,6.710759999999999
216.87822,-705.49504,6.496519999999999,6.72116
215.56368000000003,-705.3869,6.49132,6.73366
214.24912,-705.27884,6.487219999999999,6.7483
212.93456,-705.1708799999999,6.4842200000000005,6.7649799999999995
211.62000000000003,-705.0630600000001,6.482400000000001,6.78346
210.30544,-704.95536,6.481800000000002,6.803319999999999
208.99086000000003,-704.8478,6.4825,6.82396
207.67628,-704.74042,6.4844800000000005,6.844759999999999
206.36168000000004,-704.6332,6.4878,6.86506
205.04706000000002,-704.52616,6.49238,6.8842
203.73244,-704.41934,6.498220000000001,6.9015
202.4178,-704.31274,6.505240000000001,6.91634
201.10314,-704.2063599999999,6.51338,6.92806
199.78848,-704.10024,6.522540000000001,6.935980000000001
198.4738,-703.99438,6.532680000000001,6.9394599999999995
197.1591,-703.8888,6.54372,6.937859999999999
195.8444,-703.7835,6.55556,6.9307
194.52968,-703.6785199999999,6.568160000000001,6.917820000000001
193.21494,-703.5738600000001,6.581439999999999,6.899380000000001
191.90018,-703.4695399999999,6.595319999999999,6.875839999999999
190.5854,-703.36556,6.6097399999999995,6.848000000000001
189.27058,-703.26196,6.62462,6.81674
187.95574,-703.15872,6.63988,6.77914
186.64088,-703.05588,6.65546,6.739920000000001
185.326,-702.95344,6.6713,6.70008
184.01108,-702.85142,6.68732,6.66062
182.69614,-702.7498400000001,6.70346,6.62256
181.38118,-702.64872,6.719620000000001,6.590740000000001
180.06620000000004,-702.54804,6.735720000000001,6.562399999999999
178.75118,-702.44776,6.7500599999999995,6.538500000000001
177.43616000000003,-702.3478400000001,6.76388,6.52004
176.12112,-702.2481399999999,6.776999999999999,6.508039999999999
174.80606,-702.14858,6.7892399999999995,6.50356
173.49099999999999,-702.049,6.800400000000001,6.50758
172.17596,-701.9493,6.811840000000001,6.520560000000001
170.86092,-701.84934,6.822039999999999,6.54224
169.54592,-701.749,6.8309,6.57166
168.23098,-701.6481200000001,6.838379999999999,6.60712
166.91608000000002,-701.5466,6.8444199999999995,6.646299999999999
165.60121999999998,-701.44428,6.8491,6.68674
164.28644000000003,-701.34104,6.8524,6.7259199999999995
162.97174,-701.2367399999999,6.854380000000001,6.761359999999999
161.65709999999999,-701.1312599999999,6.85504,6.79084
160.34256,-701.02446,6.854419999999999,6.81292
159.02812,-700.9162399999999,6.85254,6.82696
157.71377999999999,-700.8064400000001,6.849419999999999,6.8331800000000005
156.39956,-700.69494,6.84508,6.832679999999999
155.08548000000002,-700.58162,6.8395600000000005,6.8271
153.77151999999998,-700.46634,6.8329,6.818160000000001
152.45772000000002,-700.34896,6.82508,6.80758
151.14407999999997,-700.22934,6.81618,6.797120000000001
149.83058,-700.10738,6.8062,6.788460000000001
148.51726000000002,-699.98292,6.79516,6.78336
147.20412000000002,-699.85584,6.78308,6.78352
145.89115999999999,-699.72602,6.77014,6.790700000000001
144.5784,-699.59334,6.756779999999999,6.80644
143.26586,-699.45764,6.7438,6.831180000000001
141.95352,-699.31878,6.732899999999999,6.86368
