# x_m,y_m,w_tr_right_m,w_tr_left_m
319.482,-713.0107,6.7179,6.5147
318.82335,-712.97555,6.7242,6.51215
318.16473333333334,-712.9400333333333,6.7298,6.511433333333334
317.50615,-712.904175,6.734775,6.5123
316.8476,-712.86798,6.739199999999999,6.51458
315.53048,-712.7956,6.74824,6.518679999999999
314.21344,-712.7221999999999,6.755840000000001,6.5265
312.89646,-712.6478,6.762359999999999,6.537140000000001
311.57954,-712.5724200000001,6.76816,6.54978
310.26268,-712.49606,6.77358,6.563599999999999
308.9459,-712.4187400000001,6.77898,6.57802
307.62918,-712.3404800000001,6.78466,6.59254
306.31254,-712.2613,6.79084,6.6067800000000005
304.99596,-712.1812,6.7976399999999995,6.620480000000001
303.67944,-712.1002000000001,6.80514,6.6334
302.36296000000004,-712.0183199999999,6.813280000000001,6.645300000000001
301.04656000000006,-711.93556,6.821979999999999,6.65592
299.7302,-711.85196,6.83114,6.66504
298.41392,-711.7675200000001,6.840680000000001,6.6723799999999995
297.09767999999997,-711.68226,6.850499999999999,6.67774
295.78152,-711.59618,6.860499999999999,6.68094
294.46539999999993,-711.5093199999999,6.8694999999999995,6.681960000000001
293.14934000000005,-711.42166,6.87818,6.68086
291.83332,-711.33322,6.88644,6.677839999999999
290.51737999999995,-711.2440399999999,6.89422,6.6732
289.20148,-711.1541199999999,6.901439999999999,6.667260000000001
287.88562,-711.0634600000001,6.90912,6.66034
286.56982000000005,-710.9721000000001,6.9164,6.652799999999999
285.25408,-710.8800600000001,6.923220000000001,6.64496
283.93837999999994,-710.7873200000001,6.929460000000001,6.63716
282.62272,-710.69392,6.935039999999999,6.629720000000001
281.30712,-710.59988,6.93988,6.622999999999999
279.99156,-710.50518,6.943899999999999,6.6173
278.67603999999994,-710.40986,6.946979999999999,6.612779999999999
277.36055999999996,-710.31394,6.94908,6.609819999999999
276.04512,-710.21742,6.95012,6.608580000000001
274.72972,-710.12032,6.950100000000001,6.6090800000000005
273.41436000000004,-710.02266,6.94902,6.61126
272.09904,-709.92446,6.946940000000001,6.61512
270.78376,-709.82572,6.94388,6.6203
269.46852,-709.7264600000001,6.9399,6.626600000000001
268.15332,-709.62668,6.935040000000001,6.633799999999999
266.83815999999996,-709.5264199999999,6.929340000000001,6.641679999999999
265.52302,-709.42566,6.92282,6.65004
264.20792,-709.32444,6.91554,6.6586799999999995
262.89286000000004,-709.2227800000001,6.907560000000001,6.66736
261.57782,-709.1207,6.8989,6.675879999999999
260.2628,-709.0182,6.8896,6.68404
258.94782,-708.9153,6.879720000000001,6.69162
257.63286,-708.812,6.8693,6.6984200000000005
256.31792,-708.70832,6.85836,6.70432
255.00302000000002,-708.6042799999999,6.84696,6.7092
253.68816,-708.4998800000001,6.83516,6.7130600000000005
252.37332,-708.39516,6.822979999999999,6.7159
251.0585,-708.2901199999999,6.810460000000001,6.7177999999999995
249.7437,-708.1847799999999,6.7976600000000005,6.71884
248.42892,-708.07914,6.784619999999999,6.719119999999999
247.11416,-707.97324,6.77136,6.718680000000001
245.79942,-707.86708,6.75796,6.71764
244.48470000000003,-707.7606800000001,6.74444,6.716060000000001
243.17,-707.65404,6.73204,6.7140200000000005
241.85532000000003,-707.54718,6.7193,6.7116
240.54066000000003,-707.44012,6.70626,6.7089
239.22599999999997,-707.33286,6.692959999999999,6.705980000000001
237.91136,-707.2254399999999,6.679460000000001,6.702920000000001
236.59674,-707.1178600000001,6.6646,6.699800000000001
235.28212,-707.01014,6.649940000000001,6.6967
233.96750000000003,-706.90228,6.635540000000001,6.6936800000000005
232.65292,-706.79432,6.62144,6.690860000000001
231.33833999999996,-706.68624,6.6076999999999995,6.68836
230.02375999999998,-706.57808,6.5944,6.686279999999999
228.70919999999995,-706.46986,6.5815600000000005,6.684780000000001
227.39464000000004,-706.36158,6.56926,6.684
226.08008,-706.2532600000001,6.55754,6.68408
224.76552,-706.14492,6.546460000000001,6.68518
223.45098,-706.03656,6.536060000000001,6.68746
222.13642,-705.9282,6.526400000000001,6.69106
220.82188000000002,-705.81986,6.51752,6.69614
219.50732,-705.71154,6.5095,6.702859999999999
218.19278,-705.60326,6.5024,6.71134
216.87822,-705.49504,6.49624,6.721760000000001
215.56368000000003,-705.3869,6.4911200000000004,6.73424
214.24912,-705.27884,6.48706,6.74888
212.93456,-705.1708799999999,6.484139999999999,6.765559999999999
211.62000000000003,-705.0630600000001,6.48236,6.78404
210.30544,-704.95536,6.48184,6.80392
208.99086000000003,-704.8478,6.4825800000000005,6.82462
207.67628,-704.74042,6.484640000000001,6.84548
206.36168000000004,-704.6332,6.4879999999999995,6.8658600000000005
205.04706000000002,-704.52616,6.49268,6.8850999999999996
203.73244,-704.41934,6.49858,6.90252
202.4178,-704.31274,6.505660000000001,6.917500000000001
201.10314,-704.2063599999999,6.513859999999999,6.92938
199.78848,-704.10024,6.52308,6.9375
198.4738,-703.99438,6.53326,6.9412
197.1591,-703.8888,6.54436,6.93986
195.8444,-703.7835,6.556279999999999,6.9305
194.52968,-703.6785199999999,6.56894,6.914820000000001
193.21494,-703.5738600000001,6.58228,6.893040000000001
191.90018,-703.4695399999999,6.59622,6.86574
190.5854,-703.36556,6.61068,6.833740000000001
189.27058,-703.26196,6.62562,6.80054
187.95574,-703.15872,6.640939999999999,6.7652600000000005
186.64088,-703.05588,6.6566,6.728820000000001
185.326,-702.95344,6.672499999999999,6.692139999999999
184.01108,-702.85142,6.68858,6.656140000000001
182.69614,-702.7498400000001,6.70476,6.621719999999999
181.38118,-702.64872,6.71934,6.589799999999999
180.06620000000004,-702.54804,6.733639999999999,6.561340000000001
178.75118,-702.44776,6.74756,6.53728
177.43616000000003,-702.3478400000001,6.76094,6.51862
176.12112,-702.2481399999999,6.773619999999999,6.506399999999999
174.80606,-702.14858,6.787059999999999,6.50168
173.49099999999999,-702.049,6.7996,6.505419999999999
172.17596,-701.9493,6.81106,6.518120000000001
170.86092,-701.84934,6.821299999999999,6.53956
169.54592,-701.749,6.83018,6.56876
168.23098,-701.6481200000001,6.83766,6.604080000000001
166.91608000000002,-701.5466,6.8437600000000005,6.64326
165.60121999999998,-701.44428,6.84848,6.6838
164.28644000000003,-701.34104,6.851819999999999,6.723180000000001
162.97174,-701.2367399999999,6.85386,6.75896
161.65709999999999,-701.1312599999999,6.85458,6.788880000000001
160.34256,-701.02446,6.854000000000001,6.811420000000001
159.02812,-700.9162399999999,6.8521600000000005,6.82594
157.71377999999999,-700.8064400000001,6.849119999999999,6.83266
156.39956,-700.69494,6.84484,6.83258
155.08548000000002,-700.58162,6.8393999999999995,6.827340000000001
153.77151999999998,-700.46634,6.832800000000001,6.8187
152.45772000000002,-700.34896,6.82508,6.808359999999999
151.14407999999997,-700.22934,6.8162400000000005,6.798019999999999
149.83058,-700.10738,6.8063400000000005,6.789439999999999
148.51726000000002,-699.98292,6.795399999999999,6.78434
147.20412000000002,-699.85584,6.783440000000001,6.784439999999999
145.89115999999999,-699.72602,6.770619999999999,6.791460000000001
144.5784,-699.59334,6.757420000000001,6.80702
