# x_m,y_m,w_tr_right,w_tr_left_m
-22.466612,-679.317645,5.069367,6.113598
-21.670853,-679.937236,5.075298,6.108226
-20.874863,-680.556531,5.081285,6.102433
-20.078636,-681.175523,5.087003,6.096191
-19.282167,-681.794203,5.092925,6.089476
-18.485450,-682.412564,5.099310,6.082291
-17.688478,-683.030598,5.106130,6.074636
-16.891245,-683.648295,5.113426,6.066507
-16.093745,-684.265649,5.121225,6.057892
-15.295972,-684.882650,5.129490,6.048794
-14.497919,-685.499291,5.138237,6.039231
-13.699581,-686.115564,5.147518,6.029244
-12.900952,-686.731460,5.157329,6.018865
-12.102024,-687.346970,5.167643,6.008106
-11.302793,-687.962087,5.178481,5.996973
-10.503252,-688.576802,5.189889,5.985499
-9.703394,-689.191107,5.201867,5.973725
-8.903214,-689.804994,5.214386,5.961680
-8.102706,-690.418454,5.227456,5.949367
-7.301862,-691.031478,5.241130,5.936780
-6.500678,-691.644059,5.255421,5.923925
-5.699147,-692.256187,5.270303,5.910820
-4.897263,-692.867855,5.285778,5.897468
-4.095021,-693.479054,5.301898,5.883833
-3.292413,-694.089776,5.318678,5.869869
-2.489434,-694.700012,5.336092,5.855548
-1.686078,-695.309754,5.354146,5.840863
-0.882339,-695.918993,5.372902,5.825811
-0.078211,-696.527721,5.392391,5.810368
0.726311,-697.135930,5.412581,5.794485
1.531234,-697.743611,5.433487,5.778129
2.336564,-698.350756,5.455213,5.761304
3.142306,-698.957357,5.477822,5.744024
3.948466,-699.563405,5.501267,5.726285
4.755050,-700.168891,5.525474,5.708071
5.562063,-700.773808,5.550403,5.689361
6.369512,-701.378148,5.576008,5.670155
7.177401,-701.981901,5.602222,5.650478
7.985736,-702.585060,5.628977,5.630364
8.794523,-703.187617,5.656206,5.609844
9.603767,-703.789563,5.683807,5.588948
10.413473,-704.390890,5.711667,5.567696
11.223648,-704.991590,5.739678,5.546083
12.034295,-705.591655,5.767695,5.524046
12.845421,-706.191078,5.795542,5.501496
13.657030,-706.789849,5.823109,5.478408
14.469128,-707.387961,5.850391,5.454822
15.281720,-707.985406,5.877412,5.430756
