# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.2721,-599.9768,5.7679,6.2061
-0.9472,-601.0256,5.7358,6.3604
-0.6763,-602.0928,5.7946,6.4092
-0.4442,-603.1731,5.9658,6.4752
-0.2357,-604.2614,6.1213,6.5102
-0.0356,-605.3524,6.2967,6.5209
0.1714,-606.441,6.475,6.5143
0.4005,-607.5218,6.5565,6.4969
0.6668,-608.5897,6.6842,6.438
0.9857,-609.6395,6.7196,6.3483
1.3666,-610.6679,6.7335,6.2803
1.8016,-611.6773,6.6899,6.1844
2.2796,-612.6715,6.645,6.1433
2.7892,-613.6539,6.5246,6.1162
3.3193,-614.6283,6.3828,6.132
3.8587,-615.5983,6.231,6.1699
4.3965,-616.5673,6.09,6.2135
4.9294,-617.5363,5.976,6.2539
5.4615,-618.5033,5.8979,6.29
5.9973,-619.4665,5.8751,6.3212
6.5414,-620.4238,5.8587,6.3468
7.0983,-621.3735,5.8966,6.3652
7.6724,-622.3134,5.9942,6.3602
8.2682,-623.2418,6.1406,6.3448
8.8903,-624.1565,6.2219,6.2956
9.5411,-625.0548,6.3951,6.25
10.2212,-625.9331,6.5783,6.2125
10.931,-626.7877,6.6569,6.1625
11.6711,-627.6149,6.8076,6.1558
12.442,-628.411,6.862,6.1756
13.244,-629.1724,6.9427,6.2188
14.0778,-629.8953,6.9453,6.3082
14.9438,-630.5761,6.9353,6.4434
15.8408,-631.2141,6.8546,6.5543
16.7618,-631.8188,6.79,6.7454
17.6988,-632.4013,6.6433,6.8769
18.6437,-632.973,6.491,7.0063
19.5886,-633.5452,6.3511,7.1209
20.5254,-634.1292,6.2412,7.2071
21.4487,-634.7325,6.1718,7.2557
22.3596,-635.3534,6.1332,7.2655
23.2604,-635.989,6.1409,7.2552
24.1533,-636.636,6.1743,7.217
25.0403,-637.2914,6.228,7.1546
25.9237,-637.9522,6.2967,7.0718
26.8057,-638.6151,6.3751,6.9725
27.6883,-639.2772,6.4589,6.8606
28.5739,-639.9353,6.5438,6.7398
29.4642,-640.5867,6.5831,6.5504
30.3596,-641.2309,6.6578,6.4214
31.2601,-641.8679,6.7292,6.2991
32.1654,-642.498,6.7969,6.1874
33.0755,-643.1211,6.8608,6.0903
33.9901,-643.7375,6.9207,6.0119
34.9092,-644.3472,6.9762,5.956
35.8326,-644.9504,7.0268,5.9268
36.7601,-645.5472,7.047,5.9326
37.6916,-646.1377,7.0841,5.9659
38.627,-646.722,7.1151,6.0188
39.5661,-647.3003,7.1397,6.0862
40.5085,-647.8734,7.1581,6.1623
41.4534,-648.4421,7.1708,6.2411
42.4004,-649.0076,7.1783,6.3167
43.3486,-649.5709,7.1814,6.3864
44.2975,-650.133,7.1809,6.4498
45.2465,-650.695,7.1783,6.5065
46.1948,-651.2579,7.1746,6.5563
47.1419,-651.8227,7.1713,6.5989
48.0871,-652.3905,7.1694,6.6338
49.0298,-652.9623,7.1703,6.6608
49.9692,-653.5392,7.1751,6.6796
50.9048,-654.1221,7.1852,6.6898
51.8359,-654.7122,7.2017,6.6911
52.7621,-655.3102,7.2253,6.6832
53.6839,-655.9151,7.254,6.6678
54.6024,-656.5253,7.2848,6.6472
55.5187,-657.1389,7.3146,6.6239
56.434,-657.7544,7.3403,6.6005
57.3492,-658.3698,7.3592,6.5795
58.2655,-658.9835,7.3694,6.5633
59.184,-659.5938,7.3708,6.5544
