# v_mps,ax_max_mps2,ay1_max_mps2,ay2_max_mps2
10,15.7878,12.367208,12.367208
11,15.876,12.6708748,12.6708748
12,15.9642,12.9745416,12.9745416
13,16.0622,13.2782084,13.2782084
14,16.17,14.5818752,14.5818752
15,16.2876,14.885542,14.885542
16,16.4052,14.1892088,14.1892088
17,16.5326,14.4928756,14.4928756
18,16.6698,13.7965424,13.7965424
19,16.807,14.1002092,14.1002092
20,16.954,14.403876,14.403876
21,17.1108,14.7075428,14.7075428
22,17.2676,15.0112096,15.0112096
23,17.4342,15.3148764,15.3148764
24,17.6106,15.6185432,15.6185432
25,17.787,15.92221,15.92221
26,17.9732,16.2258768,16.2258768
27,18.1594,16.5295436,16.5295436
28,18.3554,16.8332104,16.8332104
29,18.5514,17.1368772,17.1368772
30,18.7572,17.440544,17.440544
31,18.963,17.7442108,17.7442108
32,19.1786,18.0478776,18.0478776
33,19.3942,18.3515444,18.3515444
34,19.6098,18.6552112,18.6552112
35,19.8352,18.958878,18.958878
36,20.0606,19.2625448,19.2625448
37,20.286,19.5662116,19.5662116
38,20.5212,19.8698784,19.8698784
39,20.7564,20.1735452,20.1735452
40,20.9916,20.477212,20.477212
41,21.2268,20.7808788,20.7808788
42,21.462,21.0845456,21.0845456
43,21.707,21.3882124,21.3882124
44,21.9422,21.6918792,21.6918792
45,22.1872,21.995546,21.995546
46,22.4224,22.2992128,22.2992128
47,22.6674,22.6028796,22.6028796
48,22.9124,22.9065464,22.9065464
49,23.1476,23.2102132,23.2102132
50,23.3926,23.51388,23.51388
51,23.6278,23.8175468,23.8175468
52,23.863,24.1212136,24.1212136
53,24.0982,24.4248804,24.4248804
54,24.3334,24.7285472,24.7285472
55,24.5588,25.032214,25.032214
56,24.7842,25.3358808,25.3358808
57,25.0096,25.6395476,25.6395476
58,25.2252,25.9432144,25.9432144
59,25.4408,26.2468812,26.2468812
60,25.6564,26.550548,26.550548
61,25.8622,26.8542148,26.8542148
62,26.068,27.1578816,27.1578816
63,26.264,27.4615484,27.4615484
64,26.4502,27.7652152,27.7652152
65,26.6364,28.068882,28.068882
72.0,10,23,23
80.0,9,13.3,23
90.0,9,13.4,23
200.0,9,13,23
