# v_mps,ax_max_machines_mps2
10,10.30123
11,12.58556766
12,14.60005129
13,16.18606873
14,17.27595239
15,17.87591531
16,18.04898721
17,17.8979505
18,17.54827631
19,17.13106057
20,16.76596
21,16.54412817
22,16.51115153
23,16.64998544
24,16.86389023
25,16.95936719
26,16.62909465
27,15.43486401
28,11.5749611
29,11.46552795
30,11.432458
31,11.46261943
32,11.52412415
33,11.56349585
34,11.50283801
35,11.23700194
36,10.63075481
37,10.34800637
38,10.25336578
39,10.14577544
40,10.0198568
41,9.870231312
42,9.691520418
43,9.478345567
44,9.22532821
45,8.927089793
46,8.578251765
47,8.173435575
48,6.512116957
49,6.365190307
50,6.205935003
51,6.03208944
52,5.84139201
53,5.631581111
54,5.400395136
55,5.14557248
56,4.864851538
57,4.555970705
58,4.216668376
59,3.844682945
60,2.885799199
61,2.685257389
62,2.47340222
63,2.249119759
64,2.011296075
65,1.758817236
200,0.1
