# v_mps,ax_max_machines_mps2
9,10
12,15
18.67699454,21.58225433
18.86757611,21.56922558
19.05815769,21.55986854
19.24873927,21.55385901
19.43932084,21.55087276
19.62990242,21.55058559
19.820484,21.55267327
20.01106557,21.55681158
20.20164715,21.56267632
20.39222873,21.56994327
20.5828103,21.5782882
20.77339188,21.58738691
20.96397346,21.59691517
21.15455504,21.60654877
21.34513661,21.61596349
21.53571819,21.62483513
21.72629977,21.63283945
21.91688134,21.63965225
22.10746292,21.64494931
22.2980445,21.6484064
22.48862607,21.64969933
22.67920765,21.64850386
22.86978923,21.64449579
23.0603708,21.6373509
23.25095238,21.62674496
23.44153396,21.61235377
23.63211553,21.59385311
23.82269711,21.57091875
24.01327869,21.5432265
24.20386027,21.51045212
24.39444184,21.47227141
24.58502342,21.42836014
24.775605,21.3783941
24.96618657,21.32204907
25.15676815,21.25900085
25.19771459,15.91085645
25.45483412,15.89694653
25.71195366,15.88571379
25.9690732,15.87691791
26.22619273,15.87031859
26.48331227,15.8656755
26.74043181,15.86274833
26.99755134,15.86129676
27.25467088,15.86108049
27.51179042,15.86185919
27.76890995,15.86339255
28.02602949,15.86544026
28.28314903,15.86776199
28.54026856,15.87011744
28.7973881,15.8722663
29.05450764,15.87396823
29.31162717,15.87498294
29.56874671,15.87507011
29.82586625,15.87398942
30.08298578,15.57150055
30.34010532,15.56736319
30.59722486,15.06133703
30.85434439,15.05318175
31.11146393,15.04265704
31.36858346,15.02952258
31.625703,15.01353806
31.88282254,14.99446316
32.13994207,14.97205756
32.39706161,14.94608096
32.65418115,14.91629304
32.91130068,14.88245347
33.16842022,14.84432196
33.42553976,14.80165817
33.68265929,14.75422181
33.74979546,11.83064451
34.09418113,11.81269211
34.43856679,11.79666012
34.78295246,11.7823691
35.12733813,11.76963965
35.4717238,11.75829234
35.81610947,11.74814776
36.16049513,11.73902648
36.5048808,11.73074908
36.84926647,11.72313615
37.19365214,11.71600825
37.53803781,11.70918599
37.88242347,11.70248992
38.22680914,11.69574064
38.57119481,11.68875873
38.91558048,11.68136475
39.25996614,11.67337931
39.60435181,11.66462296
39.94873748,11.6549163
40.29312315,10.6440799
40.63750882,10.63193435
40.98189448,10.61830022
41.32628015,10.6029981
41.4289697,7.325174954
41.85171429,7.301539506
42.27445887,7.279375562
42.69720346,7.258536959
43.11994805,7.238877533
43.54269264,7.220251122
43.96543723,7.202511563
44.38818182,7.185512691
44.81092641,7.169108345
45.233671,7.153152361
45.65641558,7.137498576
46.07916017,7.122000827
46.50190476,7.106512951
46.92464935,7.090888785
47.34739394,7.074982165
47.77013853,7.058646929
48.19288312,7.041736914
48.61562771,7.024105955
49.03837229,7.005607892
49.46111688,6.986096559
49.88386147,6.965425794
50.06325591,6.529438963
50.57410546,6.497433521
51.08495501,6.466517785
51.59580456,6.4365708
52.10665411,6.407471612
52.61750366,6.379099266
53.12835321,6.351332807
53.63920276,6.324051281
54.15005231,6.297133732
54.66090186,6.270459207
55.17175141,6.24390675
55.68260096,6.217355407
56.19345051,6.190684223
56.70430006,6.163772243
57.21514961,6.136498513
57.72599916,6.108742078
58.23684871,6.080381983
58.74769826,6.051297273
59.25854781,6.021366995
59.76939736,5.990470192
60.28024691,5.958485911
60.79109646,5.925293196
61.30194601,5.890771094
61.34674359,5.366655389
61.97273077,5.32079987
62.59871795,5.275631108
63.22470513,5.231050395
63.85069231,5.186959025
64.47667949,5.143258289
65.10266667,5.09984948
65.72865385,5.056633891
66.35464103,5.013512814
66.98062821,4.97038754
67.60661538,4.927159364
68.23260256,4.883729577
68.85858974,4.839999472
69.48457692,4.795870341
70.1105641,4.751243476
70.73655128,4.706020171
71.36253846,4.660101717
71.98852564,4.613389408
72.61451282,4.565784534
73.2405,4.51718839
73.86648718,4.467502267
74.49247436,4.416627458
75.11846154,4.364465255
75.74444872,4.310916951
76.3704359,4.255883838
76.99642308,4.199267209
77.62241026,4.140968356
78.24839744,4.080888572
78.87438462,4.018929149
79.50037179,3.954991379
80.12635897,3.888976555
80.75234615,3.82078597
81.37833333,3.750320915
82.00432051,3.677482684
82.63030769,3.602172569
83.25629487,3.524291861
83.88228205,3.443741855
84.50826923,3.360423842
85.13425641,3.274239114
85.76024359,3.185088964
86.38623077,3.092874685
87.01221795,2.997497569
87.63820513,2.898858909
88.26419231,2.796859996
88.89017949,2.691402124
89.51616667,2.582386584
90.14215385,2.46971467
90.76814103,2.353287674
91.39412821,2.233006887
200,1
