# v_mps,ax_max_mps2,ay1_max_mps2
10,13.987,13.083
11,13.9787,13.219
12,13.9824,13.359
13,13.9981,13.503
14,14.0258,13.651
15,14.0655,13.803
16,14.1172,13.959
17,14.1809,14.119
18,14.2566,14.283
19,14.3443,14.451
20,14.444,14.623
21,14.5557,14.799
22,14.6794,14.979
23,14.8151,15.163
24,14.9628,15.351
25,15.1225,15.543
26,15.2942,15.739
27,15.4779,15.939
28,15.6736,16.143
29,15.8813,16.351
30,16.101,16.563
31,16.3327,16.779
32,16.5764,16.999
33,16.8321,17.223
34,17.0998,17.451
35,17.3795,17.683
36,17.6712,17.919
37,17.9749,18.159
38,18.2906,18.403
39,18.6183,18.651
40,18.958,18.903
41,19.3097,19.159
42,19.6734,19.419
43,20.0491,19.683
44,20.4368,19.951
45,20.8365,20.223
46,21.2482,20.499
47,21.6719,20.779
48,22.1076,21.063
49,22.5553,21.351
50,23.015,21.643
51,23.4867,21.939
52,23.9704,22.239
53,24.4661,22.543
54,24.9738,22.851
55,25.4935,23.163
56,26.0252,23.479
57,26.5689,23.799
58,27.1246,24.123
59,27.6923,24.451
60,28.272,24.783
61,28.8637,25.119
62,29.4674,25.459
63,30.0831,25.803
64,30.7108,26.151
65,31.3505,26.503
66,32.0071,26.8594
67,32.6732,27.2181
68,33.3505,27.5812
69,34.0391,27.9487
70,34.7390,28.3206
71,35.4503,28.6969
72,36.1729,29.0776
73,36.9069,29.4627
74,37.6523,29.8522
75,38.4091,30.2461
76,39.1773,30.6444
77,39.9569,31.0471
78,40.7479,31.4542
79,41.5503,31.8657
80,42.3641,32.2816
