# v_mps,ax_max_mps2,ay1_max_mps2
10,10.42393,14.395102
11,10.625011,14.578359
12,10.839078,14.762866
13,11.066131,14.948623
14,11.30617,15.13563
15,11.559195,15.323887
16,11.825206,15.513394
17,12.104203,15.704151
18,12.396186,15.896158
19,12.701155,16.089415
20,13.01911,16.283922
21,13.350051,16.479679
22,13.693978,16.676686
23,14.050891,16.874943
24,14.42079,17.07445
25,14.803675,17.275207
26,15.199546,17.477214
27,15.608403,17.680471
28,16.030246,17.884978
29,16.465075,18.090735
30,16.91289,18.297742
31,17.373691,18.505999
32,17.847478,18.715506
33,18.334251,18.926263
34,18.83401,19.13827
35,19.346755,19.351527
36,19.872486,19.566034
37,20.411203,19.781791
38,20.962906,19.998798
39,21.527595,20.217055
40,22.10527,20.436562
41,22.695931,20.657319
42,23.299578,20.879326
43,23.916211,21.102583
44,24.54583,21.32709
45,25.188435,21.552847
46,25.844026,21.779854
47,26.512603,22.008111
48,27.194166,22.237618
49,27.888715,22.468375
50,28.59625,22.700382
51,29.316771,22.933639
52,30.050278,23.168146
53,30.796771,23.403903
54,31.55625,23.64091
55,32.328715,23.879167
56,33.114166,24.118674
57,33.912603,24.359431
58,34.724026,24.601438
59,35.548435,24.844695
60,36.38583,25.089202
61,37.236211,25.334959
62,38.099578,25.581966
63,38.975931,25.830223
64,39.86527,26.07973
65,40.767595,26.330487
66,41.682906,26.582494
67,42.611203,26.835751
68,43.552486,27.090258
69,44.506755,27.346015
70,45.47401,27.603022
71,46.454251,27.861279
72,47.447478,28.120786
73,48.453691,28.381543
74,49.47289,28.64355
75,50.505075,28.906807
76,51.550246,29.171314
77,52.608403,29.437071
78,53.679546,29.704078
79,54.763675,29.972335
80,55.86079,30.241842
