# v_mps,ax_max_mps2,ay1_max_mps2
10,12.508716,13.121528
11,12.7500132,13.416184
12,13.0068936,13.708492
13,13.2793572,13.998452
14,13.567404,14.286064
15,13.871034,14.571328
16,14.1902472,14.854244
17,14.5250436,15.134812
18,14.8754232,15.413032
19,15.241386,15.688904
20,15.622932,15.962428
21,16.0200612,16.233604
22,16.4327736,16.502432
23,16.8610692,16.768912
24,17.304948,17.033044
25,17.76441,17.294828
26,18.2394552,17.554264
27,18.7300836,17.811352
28,19.2362952,18.066092
29,19.75809,18.318484
30,20.295468,18.568528
31,20.8484292,18.816224
32,21.4169736,19.061572
33,22.0011012,19.304572
34,22.600812,19.545224
35,23.216106,19.783528
36,23.8469832,20.019484
37,24.4934436,20.253092
38,25.1554872,20.484352
39,25.833114,20.713264
40,26.526324,20.939828
41,27.2351172,21.164044
42,27.9594936,21.385912
43,28.6994532,21.605432
44,29.454996,21.822604
45,30.226122,22.037428
46,31.0128312,22.249904
47,31.8151236,22.460032
48,32.6329992,22.667812
49,33.466458,22.873244
50,34.3155,23.076328
51,35.1801252,23.277064
52,36.0603336,23.475452
53,36.9561252,23.671492
54,37.8675,23.865184
55,38.794458,24.056528
56,39.7369992,24.245524
57,40.6951236,24.432172
58,41.6688312,24.616472
59,42.658122,24.798424
60,43.662996,24.978028
61,44.6834532,25.155284
62,45.7194936,25.330192
63,46.7711172,25.502752
64,47.838324,25.672964
65,48.921114,25.840828
66,50.0194872,26.006344
67,51.1334436,26.169512
68,52.2629832,26.330332
69,53.408106,26.488804
70,54.568812,26.644928
71,55.7451012,26.798704
72,56.9369736,26.950132
73,58.1444292,27.099212
74,59.367468,27.245944
75,60.60609,27.390328
76,61.8602952,27.532364
77,63.1300836,27.672052
78,64.4154552,27.809392
79,65.71641,27.944384
80,67.032948,28.077028
