# v_mps,ax_max_mps2,ay1_max_mps2
10,10.42393,15.395102
11,10.625011,15.578359
12,10.839078,15.762866
13,11.066131,15.948623
14,11.30617,16.13563
15,11.559195,16.323887
16,11.825206,16.513394
17,12.104203,16.704151
18,12.396186,16.896158
19,12.701155,17.089415
20,13.01911,17.283922
21,13.350051,17.479679
22,13.693978,17.676686
23,14.050891,17.874943
24,14.42079,18.07445
25,14.803675,18.275207
26,15.199546,18.477214
27,15.608403,18.680471
28,16.030246,18.884978
29,16.465075,19.090735
30,16.91289,19.297742
31,17.373691,19.505999
32,17.847478,19.715506
33,18.334251,19.926263
34,18.83401,20.13827
35,19.346755,20.351527
36,19.872486,20.566034
37,20.411203,20.781791
38,20.962906,20.998798
39,21.527595,21.217055
40,22.10527,21.436562
41,22.695931,21.657319
42,23.299578,21.879326
43,23.916211,22.102583
44,24.54583,22.32709
45,25.188435,22.552847
46,25.844026,22.779854
47,26.512603,23.008111
48,27.194166,23.237618
49,27.888715,23.468375
50,28.59625,23.700382
51,29.316771,23.933639
52,30.050278,24.168146
53,30.796771,24.403903
54,31.55625,24.64091
55,32.328715,24.879167
56,33.114166,25.118674
57,33.912603,25.359431
58,34.724026,25.601438
59,35.548435,25.844695
60,36.38583,26.089202
61,37.236211,26.334959
62,38.099578,26.581966
63,38.975931,26.830223
64,39.86527,27.07973
65,40.767595,27.330487
66,41.682906,27.582494
67,42.611203,27.835751
68,43.552486,28.090258
69,44.506755,28.346015
70,45.47401,28.603022
71,46.454251,28.861279
72,47.447478,29.120786
73,48.453691,29.381543
74,49.47289,29.64355
75,50.505075,29.906807
76,51.550246,30.171314
77,52.608403,30.437071
78,53.679546,30.704078
79,54.763675,30.972335
80,55.86079,31.241842
