# v_mps,ax_max_mps2,ay1_max_mps2,ay2_max_mps2
10,11.751,12.367208,12.367208
11,11.8196,12.6708748,12.6708748
12,11.8882,12.9745416,12.9745416
13,11.9666,13.2782084,13.2782084
14,12.0548,13.5818752,13.5818752
15,12.143,13.885542,13.885542
16,12.241,14.1892088,14.1892088
17,12.339,14.4928756,14.4928756
18,12.4468,14.7965424,14.7965424
19,12.5644,15.1002092,15.1002092
20,12.682,15.403876,15.403876
21,12.8094,15.7075428,15.7075428
22,12.9368,16.0112096,16.0112096
23,13.074,16.3148764,16.3148764
24,13.2112,16.6185432,16.6185432
25,13.3582,16.92221,16.92221
26,13.515,17.2258768,17.2258768
27,13.6718,17.5295436,17.5295436
28,13.8384,17.8332104,17.8332104
29,14.005,18.1368772,18.1368772
30,14.1814,23.440544,23.440544
31,14.3578,23.7442108,23.7442108
32,14.5342,24.0478776,24.0478776
33,14.7302,24.3515444,24.3515444
34,14.9164,24.6552112,24.6552112
35,15.1124,24.958878,24.958878
36,15.3182,25.2625448,25.2625448
37,15.524,25.5662116,25.5662116
38,15.7298,25.8698784,25.8698784
39,15.9454,26.1735452,26.1735452
40,16.161,26.477212,26.477212
41,16.3864,26.7808788,26.7808788
42,16.6118,27.0845456,27.0845456
43,16.8372,27.3882124,27.3882124
44,17.0724,27.6918792,27.6918792
45,17.3076,27.995546,27.995546
46,17.5428,28.2992128,28.2992128
47,17.7878,28.6028796,28.6028796
48,18.023,28.9065464,28.9065464
49,18.2778,29.2102132,29.2102132
50,18.5228,29.51388,29.51388
51,18.7776,29.8175468,29.8175468
52,19.0226,30.1212136,30.1212136
53,19.2774,30.4248804,30.4248804
54,19.542,30.7285472,30.7285472
55,19.7968,31.032214,31.032214
56,20.0614,31.3358808,31.3358808
57,20.3162,31.6395476,31.6395476
58,20.5808,31.9432144,31.9432144
59,20.8454,32.2468812,32.2468812
60,21.11,32.550548,32.550548
61,21.3746,32.8542148,32.8542148
62,21.6392,33.1578816,33.1578816
63,21.9038,33.4615484,33.4615484
64,22.1586,33.7652152,33.7652152
65,22.4232,34.068882,34.068882
72,25,23,23
80,26,13.3,23
90,27,13.4,23
200,25,13,23
