# v_mps,ax_max_mps2,ay1_max_mps2,ay2_max_mps2
10,9.751,10.367208,10.367208
11,9.8196,10.6708748,10.6708748
12,9.8882,10.9745416,10.9745416
13,9.9666,11.2782084,11.2782084
14,10.0548,11.5818752,11.5818752
15,10.143,11.885542,11.885542
16,10.241,12.1892088,12.1892088
17,10.339,12.4928756,12.4928756
18,10.4468,12.7965424,12.7965424
19,10.5644,13.1002092,13.1002092
20,10.682,13.403876,13.403876
21,10.8094,13.7075428,13.7075428
22,10.9368,14.0112096,14.0112096
23,11.074,14.3148764,14.3148764
24,11.2112,14.6185432,14.6185432
25,11.3582,14.92221,14.92221
26,11.515,15.2258768,15.2258768
27,11.6718,15.5295436,15.5295436
28,11.8384,15.8332104,15.8332104
29,12.005,16.1368772,16.1368772
30,12.1814,16.440544,16.440544
31,12.3578,16.7442108,16.7442108
32,12.5342,17.0478776,17.0478776
33,12.7302,17.3515444,17.3515444
34,12.9164,17.6552112,17.6552112
35,13.1124,17.958878,17.958878
36,13.3182,18.2625448,18.2625448
37,13.524,18.5662116,18.5662116
38,13.7298,18.8698784,18.8698784
39,13.9454,19.1735452,19.1735452
40,14.161,19.477212,19.477212
41,14.3864,19.7808788,19.7808788
42,14.6118,20.0845456,20.0845456
43,14.8372,20.3882124,20.3882124
44,15.0724,20.6918792,20.6918792
45,15.3076,20.995546,20.995546
46,15.5428,21.2992128,21.2992128
47,15.7878,21.6028796,21.6028796
48,16.023,21.9065464,21.9065464
49,16.2778,22.2102132,22.2102132
50,16.5228,22.51388,22.51388
51,16.7776,22.8175468,22.8175468
52,17.0226,23.1212136,23.1212136
53,17.2774,23.4248804,23.4248804
54,17.542,23.7285472,23.7285472
55,17.7968,24.032214,24.032214
56,18.0614,24.3358808,24.3358808
57,18.3162,24.6395476,24.6395476
58,18.5808,24.9432144,24.9432144
59,18.8454,25.2468812,25.2468812
60,19.11,25.550548,25.550548
61,19.3746,25.8542148,25.8542148
62,19.6392,26.1578816,26.1578816
63,19.9038,26.4615484,26.4615484
64,20.1586,26.7652152,26.7652152
65,20.4232,27.068882,27.068882
72,23,22,22
80,24,22,22
90,25,22,22
200,23,22,22
