# v_mps,ax_max_mps2,ay1_max_mps2,ay2_max_mps2,axb_max_mps2
10,9.751,12.367208,12.367208,9.751
11,9.8196,12.6708748,12.6708748,9.8196
12,9.8882,12.9745416,12.9745416,9.8882
13,9.9666,13.2782084,13.2782084,9.9666
14,10.0548,13.5818752,13.5818752,10.0548
15,10.143,13.885542,13.885542,10.143
16,10.241,14.1892088,14.1892088,10.241
17,10.339,14.4928756,14.4928756,10.339
18,10.4468,14.7965424,14.7965424,10.4468
19,10.5644,15.1002092,15.1002092,10.5644
20,10.682,15.403876,15.403876,10.682
21,10.8094,15.7075428,15.7075428,10.8094
22,10.9368,16.0112096,16.0112096,10.9368
23,11.074,16.3148764,16.3148764,11.074
24,11.2112,16.6185432,16.6185432,11.2112
25,11.3582,16.92221,16.92221,11.3582
26,11.515,17.2258768,17.2258768,11.515
27,11.6718,17.5295436,17.5295436,11.6718
28,11.8384,17.8332104,17.8332104,11.8384
29,12.005,18.1368772,18.1368772,12.3
30,12.1814,22.4845984,22.4845984,12.8
31,12.3578,22.81863188,22.81863188,11.90866969
32,12.5342,23.15266536,23.15266536,12.897709
33,12.7302,23.48669884,23.48669884,13.75446057
34,12.9164,23.82073232,23.82073232,14.48939162
35,13.1124,24.1547658,24.1547658,15.11296937
36,13.3182,24.48879928,24.48879928,15.63566105
37,13.524,24.82283276,24.82283276,16.06793388
38,13.7298,25.15686624,25.15686624,16.42025507
39,13.9454,25.49089972,25.49089972,16.70309186
40,14.161,25.8249332,25.8249332,16.92691146
41,14.3864,26.15896668,26.15896668,17.1021811
42,14.6118,26.49300016,26.49300016,17.239368
43,14.8372,26.82703364,26.82703364,17.34893938
44,15.0724,27.16106712,27.16106712,17.45851075
45,15.3076,27.4951006,27.4951006,17.56808213
46,15.5428,27.82913408,27.82913408,17.67765351
47,15.7878,28.16316756,28.16316756,17.78722489
48,16.023,28.49720104,28.49720104,17.78722489
49,16.2778,28.83123452,28.83123452,17.78722489
50,16.5228,29.165268,29.165268,17.78722489
51,16.7776,29.49930148,29.49930148,17.78722489
52,17.0226,29.83333496,29.83333496,17.78722489
53,17.2774,30.16736844,30.16736844,17.78722489
54,17.542,30.50140192,30.50140192,17.78722489
55,17.7968,30.8354354,30.8354354,17.78722489
56,18.0614,31.16946888,31.16946888,17.78722489
57,18.3162,31.50350236,31.50350236,17.78722489
58,18.5808,31.83753584,31.83753584,17.78722489
59,18.8454,32.17156932,32.17156932,17.78722489
60,19.11,32.5056028,32.5056028,17.78722489
61,19.3746,32.83963628,32.83963628,17.78722489
62,19.6392,33.17366976,33.17366976,17.78722489
63,19.9038,33.50770324,33.50770324,17.78722489
64,20.1586,33.84173672,33.84173672,17.78722489
65,20.4232,34.1757702,34.1757702,17.78722489
72,25,24,24,17.78722489
80,26,24,24,17.78722489
90,27,24,24,17.78722489
200,28,24,24,17.78722489
