# v_mps,ax_max_mps2,ay1_max_mps2,ay2_max_mps2,axb_max_mps2
10,9.751,14.9606496,14.9606496,10.35837558
11,9.8196,15.38504976,15.38504976,10.4162436
12,9.8882,15.80944992,15.80944992,10.47411162
13,9.9666,16.23385008,16.23385008,10.53840942
14,10.0548,16.65825024,16.65825024,10.609137
15,10.143,17.0826504,17.0826504,10.68629436
16,10.241,17.50705056,17.50705056,10.76345172
17,10.339,17.93145072,17.93145072,10.84703886
18,10.4468,18.35585088,18.35585088,10.93705578
19,10.5644,18.62374895,18.62374895,11.0270727
20,10.682,18.88457368,18.88457368,11.1235194
21,10.8094,19.13832508,19.13832508,11.22639588
22,10.9368,19.38500314,19.38500314,11.32927236
23,11.074,19.62460786,19.62460786,11.43857862
24,11.2112,19.85713925,19.85713925,11.55431466
25,11.3582,20.0825973,20.0825973,11.6700507
26,11.515,20.30098202,20.30098202,11.71505916
27,11.6718,20.5122934,20.5122934,11.76006762
28,11.8384,20.71653144,20.71653144,11.81150586
29,12.005,21.10556492,21.10556492,11.8629441
30,12.1814,25.94305824,25.94305824,11.91438234
31,12.3578,26.36549507,26.36549507,11.96582058
32,12.5342,26.7879319,26.7879319,12.0236886
33,12.7302,27.21036872,27.21036872,12.08155662
34,12.9164,27.38159823,27.38159823,12.13942464
35,13.1124,27.54514706,27.54514706,12.20372244
36,13.3182,27.70101523,27.70101523,12.26802024
37,13.524,27.84920273,27.84920273,12.33231804
38,13.7298,27.98970955,27.98970955,12.39661584
39,13.9454,28.12253571,28.12253571,12.46734342
40,14.161,28.2476812,28.2476812,12.538071
41,14.3864,28.36514601,28.36514601,12.60879858
42,14.6118,28.47493016,28.47493016,12.68595594
43,14.8372,28.57703364,28.57703364,12.75668352
44,15.0724,28.96106712,28.96106712,12.83384088
45,15.3076,29.3451006,29.3451006,12.91742802
46,15.5428,29.72913408,29.72913408,12.99458538
47,15.7878,30.11316756,30.11316756,13.07817252
48,16.023,30.49720104,30.49720104,13.16175966
49,16.2778,30.83123452,30.83123452,13.25177658
50,16.5228,31.165268,31.165268,13.3417935
51,16.7776,31.49930148,31.49930148,13.43181042
52,17.0226,31.83333496,31.83333496,13.52182734
53,17.2774,32.16736844,32.16736844,13.61184426
54,17.542,32.50140192,32.50140192,13.70829096
55,17.7968,32.8354354,32.8354354,13.80473766
56,18.0614,33.16946888,33.16946888,13.90761414
57,18.3162,33.50350236,33.50350236,14.00406084
58,18.5808,33.83753584,33.83753584,14.10693732
59,18.8454,34.17156932,34.17156932,14.2098138
60,19.11,34.5056028,34.5056028,14.31912006
61,19.3746,34.83963628,34.83963628,14.42842632
62,19.6392,35.17366976,35.17366976,14.53773258
63,19.9038,35.50770324,35.50770324,14.64703884
64,20.1586,35.84173672,35.84173672,14.76277488
65,20.4232,36.1757702,36.1757702,14.87208114
72,25,37,37,15.0903
80,26,37,37,15.0903
90,27,37,37,15.0903
200,28,37,37,16.4025
