# v_mps,ax_max_mps2,ay1_max_mps2,ay2_max_mps2,axb_max_mps2
10,9.751,11.4382071,11.4382071,9.751
11,9.8196,11.87344608,11.87344608,9.8196
12,9.8882,12.29979109,12.29979109,9.8882
13,9.9666,12.71724213,12.71724213,9.9666
14,10.0548,13.12579919,13.12579919,10.0548
15,10.143,13.52546229,13.52546229,10.143
16,10.241,13.91623142,13.91623142,10.241
17,10.339,14.29810657,14.29810657,10.339
18,10.4468,14.67108775,14.67108775,10.4468
19,10.5644,15.03517496,15.03517496,10.5644
20,10.682,15.39036821,15.39036821,10.682
21,10.8094,17.31033423,17.31033423,10.8094
22,10.9368,17.68148006,17.68148006,10.9368
23,11.074,18.04284252,18.04284252,11.074
24,11.2112,18.39442161,18.39442161,11.2112
25,11.3582,18.73621734,18.73621734,11.3582
26,11.515,19.0682297,19.0682297,11.515
27,11.6718,19.39045869,19.39045869,11.6718
28,11.8384,19.70290431,19.70290431,11.8384
29,12.005,20.00556656,20.00556656,12.005
30,12.1814,20.29844545,20.29844545,12.1814
31,12.3578,20.58154097,20.58154097,12.3578
32,12.5342,20.85485312,20.85485312,12.5342
33,12.7302,21.1183819,21.1183819,12.7302
34,12.9164,21.37212731,21.37212731,12.9164
35,13.1124,21.61608936,21.61608936,13.1124
36,13.3182,21.85026804,21.85026804,13.3182
37,13.524,22.07466335,22.07466335,13.524
38,13.7298,22.28927529,22.28927529,13.7298
39,13.9454,22.49410386,22.49410386,13.9454
40,14.161,22.68914907,22.68914907,14.161
41,14.3864,22.87441091,22.87441091,14.3864
42,14.6118,23.04988938,23.04988938,14.6118
43,14.8372,23.21558448,23.21558448,14.8372
44,15.0724,23.37149621,23.37149621,15.0724
45,15.3076,23.51762458,23.51762458,15.3076
46,15.5428,23.65396958,23.65396958,15.5428
47,15.7878,23.78053121,23.78053121,15.7878
48,16.023,23.89730947,23.89730947,16.023
49,16.2778,24.00430436,24.00430436,16.2778
50,16.5228,24.10151589,24.10151589,16.5228
51,16.7776,24.18894405,24.18894405,16.7776
52,17.0226,24.26658884,24.26658884,17.0226
53,17.2774,24.33445026,24.33445026,17.2774
54,17.542,24.39252831,24.39252831,17.542
55,17.7968,24.47506479,24.47506479,17.7968
56,18.0614,24.54781789,24.54781789,17.7968
57,18.3162,24.620571,24.620571,17.7968
58,18.5808,24.69332411,24.69332411,17.7968
59,18.8454,24.76607721,24.76607721,17.7968
60,19.11,24.83883032,24.83883032,17.7968
61,19.3746,24.91158342,24.91158342,17.7968
62,19.6392,24.98433653,24.98433653,17.7968
63,19.9038,25.05708964,25.05708964,17.7968
64,20.1586,25.12984274,25.12984274,17.7968
65,20.4232,25.20259585,25.20259585,17.7968
72,25,25.27534895,25.27534895,17.7968
80,26,25.34810206,25.34810206,17.7968
90,27,25.42085517,25.42085517,17.7968
200,28,25.49360827,25.49360827,17.7968
