# v_mps,ax_max_mps2,ay1_max_mps2,ay2_max_mps2
0,30,4,15
4,30,8,15
9,10.30123,8,15
10,10.30123,8,10
11,12.58556766,12,12
12,14.60005129,17,17
13,16.18606873,17,17
14,17.27595239,17,17
16,18.04898721,18,18
20,16.76596,21,21
24,16.86389023,21,21
28,11.5749611,21,21
32,11.52412415,21,21
36,10.63075481,23,23
40,10.0198568,23,23
44,9.22532821,23,23
48,6.512116957,23,23
52,5.84139201,23,23
56,4.864851538,23,23
60,2.885799199,23,23
66,1.758817236,23,23
72,1,23,23
80,1,13.3,23
90,1,13.4,23
