# v_mps,ax_max_mps2,ay1_max_mps2,ay2_max_mps2
10,11.751,11.367208,11.367208
11,11.8196,11.6708748,11.6708748
12,11.8882,11.9745416,11.9745416
13,11.9666,12.2782084,12.2782084
14,12.0548,12.5818752,12.5818752
15,12.143,12.885542,12.885542
16,12.241,13.1892088,13.1892088
17,12.339,13.4928756,13.4928756
18,12.4468,13.7965424,13.7965424
19,12.5644,14.1002092,14.1002092
20,12.682,14.403876,14.403876
21,12.8094,14.7075428,14.7075428
22,12.9368,15.0112096,15.0112096
23,13.074,15.3148764,15.3148764
24,13.2112,15.6185432,15.6185432
25,13.3582,15.92221,15.92221
26,13.515,16.2258768,16.2258768
27,13.6718,16.5295436,16.5295436
28,13.8384,16.8332104,16.8332104
29,14.005,17.1368772,17.1368772
30,14.1814,19.440544,19.440544
31,14.3578,19.7442108,19.7442108
32,14.5342,20.0478776,20.0478776
33,14.7302,20.3515444,20.3515444
34,14.9164,20.6552112,20.6552112
35,15.1124,20.958878,20.958878
36,15.3182,21.2625448,21.2625448
37,15.524,21.5662116,21.5662116
38,15.7298,21.8698784,21.8698784
39,15.9454,22.1735452,22.1735452
40,16.161,22.477212,22.477212
41,16.3864,22.7808788,22.7808788
42,16.6118,23.0845456,23.0845456
43,16.8372,23.3882124,23.3882124
44,17.0724,23.6918792,23.6918792
45,17.3076,23.995546,23.995546
46,17.5428,24.2992128,24.2992128
47,17.7878,24.6028796,24.6028796
48,18.023,24.9065464,24.9065464
49,18.2778,25.2102132,25.2102132
50,18.5228,25.51388,25.51388
51,18.7776,25.8175468,25.8175468
52,19.0226,26.1212136,26.1212136
53,19.2774,26.4248804,26.4248804
54,19.542,26.7285472,26.7285472
55,19.7968,27.032214,27.032214
56,20.0614,27.3358808,27.3358808
57,20.3162,27.6395476,27.6395476
58,20.5808,27.9432144,27.9432144
59,20.8454,28.2468812,28.2468812
60,21.11,28.550548,28.550548
61,21.3746,28.8542148,28.8542148
62,21.6392,29.1578816,29.1578816
63,21.9038,29.4615484,29.4615484
64,22.1586,29.7652152,29.7652152
65,22.4232,30.068882,30.068882
72,25,23,23
80,26,13.3,23
90,27,13.4,23
200,25,13,23
