# v_mps,ax_max_mps2,ay1_max_mps2,ay2_max_mps2
10,9.751,11.367208,11.367208
11,9.8196,11.6708748,11.6708748
12,9.8882,11.9745416,11.9745416
13,9.9666,12.2782084,12.2782084
14,10.0548,12.5818752,12.5818752
15,10.143,12.885542,12.885542
16,10.241,13.1892088,13.1892088
17,10.339,13.4928756,13.4928756
18,10.4468,13.7965424,13.7965424
19,10.5644,14.1002092,14.1002092
20,10.682,14.403876,14.403876
21,10.8094,14.7075428,14.7075428
22,10.9368,15.0112096,15.0112096
23,11.074,15.3148764,15.3148764
24,11.2112,15.6185432,15.6185432
25,11.3582,15.92221,15.92221
26,11.515,16.2258768,16.2258768
27,11.6718,16.5295436,16.5295436
28,11.8384,16.8332104,16.8332104
29,12.005,17.1368772,17.1368772
30,12.1814,17.440544,17.440544
31,12.3578,17.7442108,17.7442108
32,12.5342,18.0478776,18.0478776
33,12.7302,18.3515444,18.3515444
34,12.9164,18.6552112,18.6552112
35,13.1124,18.958878,18.958878
36,13.3182,19.2625448,19.2625448
37,13.524,19.5662116,19.5662116
38,13.7298,19.8698784,19.8698784
39,13.9454,20.1735452,20.1735452
40,14.161,20.477212,20.477212
41,14.3864,20.7808788,20.7808788
42,14.6118,21.0845456,21.0845456
43,14.8372,21.3882124,21.3882124
44,15.0724,21.6918792,21.6918792
45,15.3076,21.995546,21.995546
46,15.5428,22.2992128,22.2992128
47,15.7878,22.6028796,22.6028796
48,16.023,22.9065464,22.9065464
49,16.2778,23.2102132,23.2102132
50,16.5228,23.51388,23.51388
51,16.7776,23.8175468,23.8175468
52,17.0226,24.1212136,24.1212136
53,17.2774,24.4248804,24.4248804
54,17.542,24.7285472,24.7285472
55,17.7968,25.032214,25.032214
56,18.0614,25.3358808,25.3358808
57,18.3162,25.6395476,25.6395476
58,18.5808,25.9432144,25.9432144
59,18.8454,26.2468812,26.2468812
60,19.11,26.550548,26.550548
61,19.3746,26.8542148,26.8542148
62,19.6392,27.1578816,27.1578816
63,19.9038,27.4615484,27.4615484
64,20.1586,27.7652152,27.7652152
65,20.4232,28.068882,28.068882
72,23,23,23
80,24,13.3,23
90,25,13.4,23
200,23,13,23
