# v_mps,ax_max_mps2,ay1_max_mps2,ay2_max_mps2
10,15.7878,11.367208,11.367208
11,15.876,11.6708748,11.6708748
12,15.9642,11.9745416,11.9745416
13,16.0622,12.2782084,12.2782084
14,16.17,12.5818752,12.5818752
15,16.2876,12.885542,12.885542
16,16.4052,13.1892088,13.1892088
17,16.5326,13.4928756,13.4928756
18,16.6698,13.7965424,13.7965424
19,16.807,14.1002092,14.1002092
20,16.954,14.403876,14.403876
21,17.1108,14.7075428,14.7075428
22,17.2676,15.0112096,15.0112096
23,17.4342,15.3148764,15.3148764
24,17.6106,15.6185432,15.6185432
25,17.787,15.92221,15.92221
26,17.8556,16.2258768,16.2258768
27,17.9242,16.5295436,16.5295436
28,18.0026,16.8332104,16.8332104
29,18.081,17.1368772,17.1368772
30,18.1594,17.440544,17.440544
31,18.2378,17.7442108,17.7442108
32,18.326,18.0478776,18.0478776
33,18.4142,18.3515444,18.3515444
34,18.5024,18.6552112,18.6552112
35,18.6004,18.958878,18.958878
36,18.6984,19.2625448,19.2625448
37,18.7964,19.5662116,19.5662116
38,18.8944,19.8698784,19.8698784
39,19.0022,20.1735452,20.1735452
40,19.11,20.477212,20.477212
41,19.2178,20.7808788,20.7808788
42,19.3354,21.0845456,21.0845456
43,19.4432,21.3882124,21.3882124
44,19.5608,21.6918792,21.6918792
45,19.6882,21.995546,21.995546
46,19.8058,22.2992128,22.2992128
47,19.9332,22.6028796,22.6028796
48,20.0606,22.9065464,22.9065464
49,20.1978,23.2102132,23.2102132
50,20.335,23.51388,23.51388
51,20.4722,23.8175468,23.8175468
52,20.6094,24.1212136,24.1212136
53,20.7466,24.4248804,24.4248804
54,20.8936,24.7285472,24.7285472
55,21.0406,25.032214,25.032214
56,21.1974,25.3358808,25.3358808
57,21.3444,25.6395476,25.6395476
58,21.5012,25.9432144,25.9432144
59,21.658,26.2468812,26.2468812
60,21.8246,26.550548,26.550548
61,21.9912,26.8542148,26.8542148
62,22.1578,27.1578816,27.1578816
63,22.3244,27.4615484,27.4615484
64,22.5008,27.7652152,27.7652152
65,22.6674,28.068882,28.068882
72,23,23,23
80,24,13.3,23
90,25,13.4,23
200,23,13,23
